Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,42.3970230273,5.80545110034,0.052649842243,5.97275182475,12.925468867,10.100111941,38.9923222314,38.9723222314,0.0,0.02
 01/01  02:00:00,45.1409130672,5.99338745934,0.0415987139995,8.54089623193,12.925468867,10.100111941,50.4949578832,44.7374427708,0.0,5.75751511243
 01/01  03:00:00,42.136406716,6.10727372829,0.0311819589588,10.051961047,8.34152022915,10.0650221343,44.8928994309,44.8728994309,0.0,0.02
 01/01  04:00:00,43.5987726869,6.20733845474,0.0236780650631,11.4217620738,8.34152022915,10.0650221343,51.1440427016,45.3864521398,0.0,5.75759056183
 01/01  05:00:00,46.5750749465,6.30035908473,0.0173927136949,12.7046818308,8.34152022915,11.6705166398,52.0895747302,46.3264868688,0.0,5.76308786141
 01/01  06:00:00,50.9351559702,6.3165294966,0.0135665748363,12.894081601,8.80141237637,15.3678112995,49.3993232622,43.6307083583,0.0,5.76861490394
 01/01  07:00:00,68.9139083925,6.16825654328,0.0228351166278,11.0351770046,18.5082010057,25.6353820695,47.0462199567,41.2662773555,0.0,5.77994260121
 01/01  08:00:00,79.7825059833,5.89466553824,0.0591315125961,7.5701336438,19.4926561212,41.1001056674,50.761346821,39.1655403408,0.0,11.5958064802
 01/01  09:00:00,93.6686716268,5.60969538516,0.589731136336,3.10517304999,26.3286599382,57.9988325916,67.0173980127,31.5941055773,0.0,35.4232924354
 01/01  10:00:00,79.958818586,5.7152804385,0.158675849179,4.99435839899,26.2443270014,42.8153538416,71.4675859003,29.9413957701,18.025,23.5011901303
 01/01  11:00:00,59.0499499601,5.94114120614,0.0385189485584,7.85449159896,21.7447113004,23.4437158914,70.9071845052,29.4461399956,18.025,23.4360445096
 01/01  12:00:00,56.1763705144,5.91769404604,0.0403810928216,7.4045962808,19.3449162599,23.4437158914,68.9993772864,27.5851317606,18.025,23.3892455258
 01/01  13:00:00,55.2051245485,5.84534161913,0.0509820126534,6.3529996018,19.190480192,23.7425572507,67.8534966809,26.4915767244,18.025,23.3369199565
 01/01  14:00:00,54.2763956921,5.78297559751,0.0444466561237,5.46704640172,19.260583323,23.698576057,59.1836217725,23.6473091224,18.025,17.5113126501
 01/01  15:00:00,53.6687731993,5.74241688835,0.0448226191688,4.89961124078,19.260583323,23.698576057,65.2573079462,23.8968780235,18.025,23.3354299228
 01/01  16:00:00,53.0399589458,5.7204030277,0.0442127193976,4.58336735574,19.260583323,23.4086260847,60.8781113266,25.3448882014,18.025,17.5082231252
 01/01  17:00:00,57.387311432,5.7142810709,0.0430390695673,4.48669649155,19.260583323,27.8781056672,49.0184374109,25.2304899251,18.025,5.76294748577
