Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,84.2715212127,22.9799442633,14.4798282409,0.199908449658,4.12243109448,15.9888894789,92.0360339668,89.044303549,2.97173041782,0.02
 01/02  02:00:00,77.8542572682,18.9904058844,12.0258191845,0.19023758362,4.12243109448,15.9888894789,78.7072410457,75.7155106279,2.97173041782,0.02
 01/02  03:00:00,88.7458169145,24.3363111118,14.6522291376,0.733793108058,4.12243109448,15.9888894789,98.9350476257,95.9433172079,2.97173041782,0.02
 01/02  04:00:00,77.1587310605,19.4690488894,11.5062901967,0.931619164215,4.12243109448,15.9888894789,80.4304088354,77.4386784175,2.97173041782,0.02
 01/02  05:00:00,115.701822289,29.5226686708,16.9448337095,1.39074973636,12.3672932834,24.9413748627,112.260116673,107.287232643,4.9528840297,0.02
 01/02  06:00:00,141.713353145,30.25098439,19.7901037358,23.6828231161,12.3672932834,24.9413748627,175.281254702,170.308370673,4.9528840297,0.02
 01/02  07:00:00,193.050996569,30.7963637446,19.7044992871,18.0296818624,24.7345865669,70.7195625826,142.037869273,132.112101213,9.90576805939,0.02
 01/02  08:00:00,216.228298004,31.0012690544,19.5277970455,12.9867123108,37.1018798503,92.3937384068,123.105800875,113.180032816,9.90576805939,0.02
 01/02  09:00:00,213.466997667,31.0779416554,21.0819285915,11.373174604,37.1018798503,104.434947198,117.598282499,107.67251444,9.90576805939,0.02
 01/02  10:00:00,223.457712747,31.1393137259,22.2487730995,9.12849086414,37.1018798503,116.476155989,121.877685109,103.345432448,9.90576805939,8.62648460119
 01/02  11:00:00,220.612734872,31.2170412414,22.6506492397,6.83862038415,37.1018798503,116.476155989,108.664410208,98.7386421481,9.90576805939,0.02
 01/02  12:00:00,217.695950589,31.4742928528,22.5272077544,5.25948531109,37.1018798503,116.476155989,111.882956667,93.3447271039,9.90576805939,8.63246150411
 01/02  13:00:00,206.064689935,31.9007068542,22.5590857635,4.07857113962,37.1018798503,104.434947198,98.7528929644,88.827124905,9.90576805939,0.02
 01/02  14:00:00,215.60824695,32.2787721083,23.4314157403,3.08340852244,37.1018798503,116.476155989,95.6518180356,85.7260499762,9.90576805939,0.02
 01/02  15:00:00,213.032209711,32.4891606671,23.8758773347,2.19856773554,37.1018798503,116.476155989,102.727081987,84.190323213,9.90576805939,8.63099071462
 01/02  16:00:00,216.797155318,32.312650829,21.8601399676,1.86814311318,37.1018798503,116.476155989,94.5351118273,84.6093437679,9.90576805939,0.02
 01/02  17:00:00,219.27137596,32.1549221331,20.8444930212,1.77783363484,37.1018798503,116.476155989,103.439244543,84.90815182,9.90576805939,8.62532466351
 01/02  18:00:00,230.942333376,31.8231762145,21.2809144215,1.84945312853,37.1018798503,116.476155989,97.0790284179,87.1532603585,9.90576805939,0.02
 01/02  19:00:00,151.84157502,29.0839125829,18.8887530066,0.0,24.7345865669,47.5788473902,75.4411521275,70.4682680978,4.9528840297,0.02
 01/02  20:00:00,152.024202018,30.0411985929,18.3136583747,0.0,24.7345865669,47.5788473902,81.7550148023,76.7821307726,4.9528840297,0.02
 01/02  21:00:00,127.207952278,28.2462873241,17.5342150364,0.0,12.3672932834,38.6892022431,95.528203449,92.5364730312,2.97173041782,0.02
 01/02  22:00:00,102.014334197,22.2458133213,13.9850417354,0.0,12.3672932834,27.0668015668,81.2913823681,78.2996519503,2.97173041782,0.02
 01/02  23:00:00,74.4935485425,18.5117628794,12.0809661486,0.0,4.12243109448,15.9888894789,74.6153275193,71.6235971015,2.97173041782,0.02
