Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4343167109,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4208856385,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4138749349,0.0,0.0,0.0,15.863942322,29.242365,6.08835058389,0.0,3.20568,2.88267058389
 01/01  04:00:00,55.4042085003,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6092446504,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.586165361,0.0,0.0,0.0,15.863942322,29.242365,6.0883387754,0.0,3.20568,2.8826587754
 01/01  07:00:00,55.6051958561,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,54.1134707258,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,46.9572442704,0.0,0.0,0.0,15.863942322,29.242365,6.08979490713,0.0,3.20568,2.88411490713
 01/01  10:00:00,46.9696945989,0.0,0.0,0.0,15.863942322,29.242365,6.08964701704,0.0,3.20568,2.88396701704
 01/01  11:00:00,46.9734429718,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.6888409192,0.0,0.0,0.0,15.863942322,29.242365,6.08971567577,0.0,3.20568,2.88403567577
 01/01  13:00:00,46.9923114936,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0475738284,0.0,0.0,0.0,15.863942322,29.242365,6.089784223,0.0,3.20568,2.884104223
 01/01  15:00:00,47.0774556992,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0742107781,0.0,0.0,0.0,15.863942322,29.242365,6.0883056428,0.0,3.20568,2.8826256428
 01/01  17:00:00,46.9763677974,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,52.6945144022,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.5479870682,0.0,0.0,0.0,15.863942322,29.242365,6.0882940807,0.0,3.20568,2.8826140807
 01/01  20:00:00,55.7567477705,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.7302291847,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.6120899443,0.0,0.0,0.0,15.863942322,29.242365,6.08828255032,0.0,3.20568,2.88260255032
 01/01  23:00:00,55.4593288951,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.1564581528,0.0,0.0,0.0,15.863942322,29.242365,6.08827104122,0.0,3.20568,2.88259104122
 01/02  01:00:00,55.4514795393,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4516127307,0.0,0.0,0.0,15.863942322,29.242365,6.08966917441,0.0,3.20568,2.88398917441
 01/02  03:00:00,55.4427423542,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.4392688844,0.0,0.0,0.0,15.863942322,29.242365,6.08974169233,0.0,3.20568,2.88406169233
 01/02  05:00:00,55.6505699378,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.6360047472,0.0,0.0,0.0,15.863942322,29.242365,6.08981404222,0.0,3.20568,2.88413404222
