Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6436039697,2.22429755098,0.0,0.0,1.85583932782,5.577,27.0849434368,22.3447869179,3.0011,1.73905651887
 01/01  02:00:00,9.55014236302,0.0,0.0,0.0,0.618613109274,5.0,3.59317143531,0.0,3.0011,0.592071435315
 01/01  03:00:00,9.57292949844,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.57907036615,0.0,0.0,0.0,0.618613109274,5.0,3.59315146799,0.0,3.0011,0.592051467989
 01/01  05:00:00,9.72375542427,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7644832553,2.22429755098,0.0,0.0,1.85583932782,5.577,35.9520106405,31.4303606405,4.50165,0.02
 01/01  07:00:00,28.2457632442,2.22429755098,0.0,0.0,3.71167865564,18.077,38.7258470001,23.4832185007,13.50495,1.7376784994
 01/01  08:00:00,27.5704006288,2.22429755098,0.0,0.0,3.71167865564,18.077,41.8124913107,19.6396920728,21.0077,1.16509923788
 01/01  09:00:00,20.6635094479,2.22429755098,0.0,0.0,3.71167865564,13.077,39.8510100763,23.1077488536,15.0055,1.73776122265
 01/01  10:00:00,20.6736218617,2.22429755098,0.0,0.0,3.71167865564,13.077,39.125621607,22.9548268396,15.0055,1.16529476738
 01/01  11:00:00,25.6835328445,2.22429755098,0.0,0.0,3.71167865564,18.077,54.8334345115,17.7831307748,33.0121,4.03820373667
 01/01  12:00:00,26.8358125215,2.22429755098,0.0,0.0,3.71167865564,18.077,56.4626995652,11.9108057999,40.51485,4.03704376526
 01/01  13:00:00,25.9484670415,2.22429755098,0.0,0.0,3.71167865564,18.077,44.7090408807,5.80740794205,36.0132,2.88843293861
 01/01  14:00:00,25.7611695009,2.22429755098,0.0,0.0,3.71167865564,18.077,38.1238842878,3.15075189319,31.51155,3.46158239457
 01/01  15:00:00,20.7744420118,2.22429755098,0.0,0.0,3.71167865564,13.077,26.6957151449,3.37582016867,21.0077,2.31219497625
 01/01  16:00:00,20.7617633501,2.22429755098,0.0,0.0,3.71167865564,13.077,25.2489237662,3.42899768359,19.50715,2.31277608259
 01/01  17:00:00,20.6744669671,2.22429755098,0.0,0.0,3.71167865564,13.077,29.5169464149,4.12257828348,22.50825,2.88611813141
 01/01  18:00:00,27.5760956808,2.22429755098,0.0,0.0,3.71167865564,18.077,32.7812343831,4.38373646581,25.50935,2.88814791732
 01/01  19:00:00,28.2066403871,2.22429755098,0.0,0.0,3.71167865564,18.077,33.8068082321,4.25961959132,25.50935,4.03783864073
 01/01  20:00:00,28.3454727533,2.22429755098,0.0,0.0,3.71167865564,18.077,34.9111960625,5.36418141096,25.50935,4.03766465149
 01/01  21:00:00,23.3181962222,2.22429755098,0.0,0.0,3.71167865564,13.077,34.8263313903,8.85703178525,22.50825,3.46104960509
 01/01  22:00:00,23.2478354933,2.22429755098,0.0,0.0,3.71167865564,13.077,34.3230413361,9.27804453675,21.0077,4.03729679934
 01/01  23:00:00,23.1440279701,2.22429755098,0.0,0.0,3.71167865564,13.077,30.5008031924,9.60687488036,18.0066,2.88732831202
 01/01  24:00:00,24.3012545139,2.22429755098,0.0,0.0,3.71167865564,13.077,17.633906679,12.894584431,3.0011,1.73822224803
 01/02  01:00:00,13.8553716594,2.22429755098,0.0,0.0,1.85583932782,5.577,23.3336854372,18.5943271564,3.0011,1.73825828078
 01/02  02:00:00,9.57706081183,0.0,0.0,0.0,0.618613109274,5.0,3.59316544202,0.0,3.0011,0.592065442019
 01/02  03:00:00,9.59901999897,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.61293657841,0.0,0.0,0.0,0.618613109274,5.0,3.59317135595,0.0,3.0011,0.592071355948
 01/02  05:00:00,9.76340289828,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.8100769089,2.22429755098,0.0,0.0,1.85583932782,5.577,26.5319753312,22.0103253312,4.50165,0.02
 01/02  07:00:00,28.2773712521,2.22429755098,0.0,0.0,3.71167865564,18.077,32.0859472206,16.8432545151,13.50495,1.73774270546
 01/02  08:00:00,27.6010615998,2.22429755098,0.0,0.0,3.71167865564,18.077,38.6887931495,13.0673037154,21.0077,4.61378943401
 01/02  09:00:00,20.7220075866,2.22429755098,0.0,0.0,3.71167865564,13.077,29.8822036616,10.2640056975,15.0055,4.61269796415
 01/02  10:00:00,20.7462886787,2.22429755098,0.0,0.0,3.71167865564,13.077,26.4239867744,7.95555246778,15.0055,3.46293430661
 01/02  11:00:00,25.751269312,2.22429755098,0.0,0.0,3.71167865564,18.077,41.2188643081,5.31849575479,33.0121,2.88826855334
