Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.512402456,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.846779783,0.356361608039,0.0,0.0,43.513341876,52.539744,5.41500481328,0.560744813277,4.83426,0.02
 01/01  03:00:00,118.907339072,1.42544643216,0.0,0.0,43.513341876,52.539744,6.46173437724,1.60747437724,4.83426,0.02
 01/01  04:00:00,120.980716986,3.51084266914,0.0,0.0,43.513341876,52.539744,9.50600197725,4.65174197725,4.83426,0.02
 01/01  05:00:00,122.446914685,4.55789576506,0.0,0.0,43.513341876,52.539744,13.8955385625,9.04127856255,4.83426,0.02
 01/01  06:00:00,122.641263744,4.79114373088,0.0,0.0,43.513341876,52.539744,25.6358609587,12.1903080818,4.83426,8.61129287695
 01/01  07:00:00,122.569445024,4.67229945241,0.0,0.0,43.513341876,52.539744,20.7049542564,15.8506942564,4.83426,0.02
 01/01  08:00:00,119.574748354,4.79114373088,0.0,0.0,43.513341876,52.539744,18.9104575284,14.0561975284,4.83426,0.02
 01/01  09:00:00,104.500154671,4.67229945241,0.0,0.0,43.513341876,52.539744,21.3570949271,16.5028349271,4.83426,0.02
 01/01  10:00:00,104.643584806,4.79114373088,0.0,0.0,43.513341876,52.539744,20.3132819352,15.4590219352,4.83426,0.02
 01/01  11:00:00,103.629069531,3.77624733347,0.0,0.0,43.513341876,52.539744,22.9816337799,9.5295611924,4.83426,8.61781258747
 01/01  12:00:00,102.889360742,2.10742796518,0.0,0.0,43.513341876,52.539744,8.75804190504,3.90378190504,4.83426,0.02
 01/01  13:00:00,99.8754821335,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,99.981139883,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.031951306,0.0,0.0,0.0,43.513341876,52.539744,13.4454768255,0.0,4.83426,8.61121682547
 01/01  16:00:00,100.013066308,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,99.8042080527,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,111.748774405,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.709002261,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.12639022,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.076445,0.0,0.0,0.0,43.513341876,52.539744,13.4454607336,0.0,4.83426,8.6112007336
 01/01  22:00:00,117.850850347,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.553078619,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,118.456877315,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.54949414,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.554411269,0.0,0.0,0.0,43.513341876,52.539744,13.4520301013,0.0,4.83426,8.61777010132
 01/02  03:00:00,117.539783304,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  04:00:00,118.606894451,1.06908482412,0.0,0.0,43.513341876,52.539744,6.02998171863,1.17572171863,4.83426,0.02
 01/02  05:00:00,119.032513083,1.06908482412,0.0,0.0,43.513341876,52.539744,6.0411764192,1.1869164192,4.83426,0.02
 01/02  06:00:00,119.006025931,1.06908482412,0.0,0.0,43.513341876,52.539744,14.6825872146,1.23043189229,4.83426,8.61789532229
 01/02  07:00:00,192.616799158,72.5758079635,0.00186646290607,0.0,43.513341876,53.238744,1592.74312541,1587.88886541,4.83426,0.02
 01/02  08:00:00,366.859395825,72.5758079635,0.0,0.0,220.879908,53.238744,1102.57875435,1077.08912629,4.83426,20.6553680607
 01/02  09:00:00,443.739292936,72.5758079635,0.00212551204945,0.0,220.879908,145.652643033,698.238740427,629.840872665,36.25695,32.1409177622
 01/02  10:00:00,443.647070944,72.5758079635,0.00202085889991,0.0,220.879908,145.652643033,552.810404628,480.907682776,36.25695,35.6457718528
 01/02  11:00:00,449.638875187,72.5758079635,0.00130085290273,0.0,220.879908,151.653867033,516.590581919,423.647693864,48.3426,44.6002880556
 01/02  12:00:00,450.792383522,72.7923724474,0.0,0.0,220.879908,151.653867033,480.549617479,387.446918434,48.3426,44.7600990447
 01/02  13:00:00,450.994116039,73.8944185512,0.0,0.0,220.879908,151.653867033,470.612981508,377.383698949,48.3426,44.8866825588
 01/02  14:00:00,445.986433888,74.8767091672,0.0,0.0,220.879908,145.652643033,401.153063803,332.020980123,24.1713,44.9607836797
 01/02  15:00:00,446.475545206,75.3748114357,0.0,0.0,220.879908,145.652643033,365.222204907,296.488325841,24.1713,44.5625790662
 01/02  16:00:00,437.956651557,74.5845582726,0.0,0.0,220.879908,137.835547516,471.586145553,431.037758534,4.83426,35.7141270185
 01/02  17:00:00,431.417594573,73.0564071254,0.0,0.0,220.879908,133.019064,421.036832632,380.756046529,4.83426,35.4465261024
 01/02  18:00:00,363.007436479,72.5856901902,0.0,0.0,220.879908,53.238744,432.299550526,392.01953151,4.83426,35.4457590162
 01/02  19:00:00,368.931081166,72.5758079635,0.0,0.0,220.879908,53.238744,397.506370335,357.100560818,4.83426,35.5715495164
 01/02  20:00:00,369.358484599,72.5758079635,0.0,0.0,220.879908,53.238744,405.098943199,391.580820103,4.83426,8.68386309635
