Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,946.329112024,96.2770499602,571.40153935,0.0,34.9616554283,113.312780494,573.718498119,559.321135904,5.66466996096,8.73269225385
 01/01  02:00:00,955.182001388,96.2770499602,580.056803995,0.0,34.9616554283,113.312780494,587.141943738,564.033205255,5.66466996096,17.4440685223
 01/01  03:00:00,958.319331017,96.2770499602,583.202028697,0.0,34.9616554283,113.312780494,595.080026575,571.973100425,5.66466996096,17.4422561893
 01/01  04:00:00,956.885990928,96.2770499602,581.929196108,0.0,34.9616554283,113.312780494,604.073895404,580.965512153,5.66466996096,17.4437132904
 01/01  05:00:00,959.257820348,96.2770499602,574.521373549,0.0,44.4937663224,113.312780494,607.508183804,584.398539449,5.66466996096,17.4449743939
 01/01  06:00:00,952.479279529,96.2770499602,567.286812822,0.0,44.4937663224,113.312780494,619.245950641,587.641228241,14.1616749024,17.4430474974
 01/01  07:00:00,1024.09380135,96.2770499602,566.368547536,0.0,54.0258772165,176.889270242,557.25032226,511.485787227,28.3233498048,17.4411852284
 01/01  08:00:00,1024.57476522,96.2770499602,570.770783837,0.0,54.0258772165,184.38654557,548.79536875,497.577167856,42.4850247072,8.73317618696
 01/01  09:00:00,1114.69561436,96.2770499602,584.613158496,0.0,65.1572554096,220.04316451,544.011663812,461.076961097,56.6466996096,26.2880031059
 01/01  10:00:00,1124.14425906,96.2770499602,600.293395676,0.0,65.1572554096,212.545889182,516.468390331,447.561829841,42.4850247072,26.4215357834
 01/01  11:00:00,1133.53921389,96.2770499602,600.294831039,0.0,65.1572554096,220.04316451,529.081725154,422.865170212,70.808374512,35.4081804299
 01/01  12:00:00,1116.53989472,96.2770499602,580.726061727,0.0,65.1572554096,220.04316451,500.649821583,403.277842184,70.808374512,26.563604887
 01/01  13:00:00,1105.47068186,96.2770499602,569.945386916,0.0,65.1572554096,220.04316451,496.6710355,390.460784249,70.808374512,35.4018767387
 01/01  14:00:00,1105.22845384,96.2770499602,577.476042114,0.0,65.1572554096,212.545889182,468.989272282,385.79232911,56.6466996096,26.5502435623
 01/01  15:00:00,1109.51480665,96.2770499602,581.981198367,0.0,65.1572554096,212.545889182,447.935703469,370.040866204,42.4850247072,35.4098125576
 01/01  16:00:00,1115.30854373,96.2770499602,588.16877731,0.0,65.1572554096,212.545889182,459.746323343,367.700193603,56.6466996096,35.3994301301
 01/01  17:00:00,1103.63484796,96.2770499602,598.421114818,0.0,65.1572554096,220.04316451,493.576430954,382.05176421,84.9700494144,26.5546173303
 01/01  18:00:00,1075.81226643,96.2770499602,606.171336404,0.0,54.0258772165,184.38654557,529.933948052,418.54254381,84.9700494144,26.4213548271
 01/01  19:00:00,1055.63142835,96.2770499602,618.007548088,0.0,44.4937663224,163.454314868,567.567085738,465.151992456,84.9700494144,17.445043868
 01/01  20:00:00,1037.36664789,96.2770499602,607.545060334,0.0,44.4937663224,155.95703954,550.930048822,476.840232195,56.6466996096,17.443117017
 01/01  21:00:00,996.781564433,96.2770499602,599.382819959,0.0,44.4937663224,124.558693486,592.102448103,518.01449378,56.6466996096,17.4412547127
 01/01  22:00:00,981.408140898,96.2770499602,585.217072833,0.0,44.4937663224,124.558693486,590.131961085,530.201035284,42.4850247072,17.4459010933
 01/01  23:00:00,961.211580039,96.2770499602,572.86452276,0.0,34.9616554283,124.558693486,595.368355461,549.601108463,28.3233498048,17.4438971932
 01/01  24:00:00,958.037646213,96.2770499602,568.323356691,0.0,34.9616554283,124.558693486,588.120541284,556.51685114,14.1616749024,17.4420152413
 01/02  01:00:00,960.00450863,96.2770499602,563.588993019,0.0,46.0930336215,113.312780494,575.407622664,561.012501564,5.66466996096,8.73045113955
 01/02  02:00:00,952.647252143,96.2770499602,559.653463349,0.0,46.0930336215,113.312780494,587.883788759,564.77295107,5.66466996096,17.4461677279
 01/02  03:00:00,951.986054473,96.2770499602,563.615377203,0.0,46.0930336215,113.312780494,593.847352501,570.738426249,5.66466996096,17.4442562913
 01/02  04:00:00,952.194882579,96.2770499602,564.236602037,0.0,46.0930336215,113.312780494,603.03010658,579.923009277,5.66466996096,17.442427342
 01/02  05:00:00,1041.55609915,96.2770499602,561.347339779,0.0,100.150657288,148.969399434,571.487048098,548.376706373,5.66466996096,17.4456717641
 01/02  06:00:00,1043.42694638,96.2770499602,558.224531866,0.0,100.150657288,149.894399434,1138.81527914,1107.20836954,14.1616749024,17.4452346949
 01/02  07:00:00,1269.22967442,96.2770499602,557.024487893,0.0,176.471037341,302.612436532,741.855459674,696.088768594,28.3233498048,17.4433412754
 01/02  08:00:00,1380.58194973,96.2770499602,556.625471438,0.0,243.2593065,310.10971186,682.733339165,613.805272751,42.4850247072,26.4430417063
 01/02  09:00:00,1420.00910777,96.2887482801,563.445921416,0.0,243.2593065,310.10971186,644.388700849,552.296411786,56.6466996096,35.4455894534
 01/02  10:00:00,1467.48747696,96.3816333908,577.396232307,0.0,243.2593065,302.612436532,592.804446145,514.714526317,42.4850247072,35.6048951209
 01/02  11:00:00,1482.55284322,96.4678925665,584.679643418,0.0,243.2593065,310.10971186,601.04507443,485.414855598,70.808374512,44.8218443198
