Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6294672735,2.16207095618,0.0,0.0,1.85583932782,5.577,23.3145306727,18.0020465463,3.0011,2.31138412637
 01/01  02:00:00,9.6273199966,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.65762440183,0.0,0.0,0.0,0.618613109274,5.0,3.59315173523,0.0,3.0011,0.592051735227
 01/01  04:00:00,9.66456827234,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.79809092697,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7703088189,2.16207095618,0.0,0.0,1.85583932782,5.577,29.7556270876,24.6619949537,4.50165,0.59198213392
 01/01  07:00:00,28.2430517894,2.16207095618,0.0,0.0,3.71167865564,18.077,32.8883598984,17.64565366,13.50495,1.73775623843
 01/01  08:00:00,26.3188716917,2.16207095618,0.0,0.0,3.71167865564,18.077,33.3443670006,11.1714061192,21.0077,1.16526088137
 01/01  09:00:00,20.717225795,2.16207095618,0.0,0.0,3.71167865564,13.077,24.12005793,7.37633794812,15.0055,1.73821998191
 01/01  10:00:00,20.7677702228,2.16207095618,0.0,0.0,3.71167865564,13.077,19.9009687538,3.72995774412,15.0055,1.16551100973
 01/01  11:00:00,25.8396009117,2.16207095618,0.00161979024746,0.0,3.71167865564,18.077,37.7641731436,0.137518459407,33.0121,4.61455468419
 01/01  12:00:00,27.2086657605,2.16207095618,0.188109918548,0.0,3.71167865564,18.077,45.1288630985,0.0,40.51485,4.61401309848
 01/01  13:00:00,27.3273615117,2.16207095618,1.08783188189,0.0,3.71167865564,18.077,39.4753028154,0.0,36.0132,3.46210281536
 01/01  14:00:00,26.9049643034,2.16207095618,0.923107243904,0.0,3.71167865564,18.077,35.5479459748,0.0,31.51155,4.03639597483
 01/01  15:00:00,21.5369114102,2.16207095618,0.562199621599,0.0,3.71167865564,13.077,23.3204728275,0.0,21.0077,2.31277282747
 01/01  16:00:00,21.0741630377,2.16207095618,0.137818145636,0.0,3.71167865564,13.077,22.3940875612,0.0,19.50715,2.88693756116
 01/01  17:00:00,21.4467800204,2.16207095618,0.0,0.0,3.71167865564,13.077,25.395128186,0.0,22.50825,2.88687818601
 01/01  18:00:00,28.3151739121,2.16207095618,0.0,0.0,3.71167865564,18.077,28.9724859326,0.0,25.50935,3.46313593257
 01/01  19:00:00,28.2620982792,2.16207095618,0.0,0.0,3.71167865564,18.077,30.4488269677,0.325017683021,25.50935,4.61445928471
 01/01  20:00:00,28.3733185742,2.16207095618,0.0,0.0,3.71167865564,18.077,31.7457120233,1.62234074463,25.50935,4.6140212787
 01/01  21:00:00,23.3296218328,2.16207095618,0.0,0.0,3.71167865564,13.077,30.6172501594,4.64634643534,22.50825,3.46265372405
 01/01  22:00:00,23.2206217609,2.16207095618,0.0,0.0,3.71167865564,13.077,35.0574075137,9.43589181877,21.0077,4.61381569496
 01/01  23:00:00,23.0993106994,2.16207095618,0.0,0.0,3.71167865564,13.077,33.9688503566,12.5000299357,18.0066,3.46222042096
 01/01  24:00:00,24.2583545215,2.16207095618,0.0,0.0,3.71167865564,13.077,20.0680138772,14.7556085722,3.0011,2.31130530499
 01/02  01:00:00,13.7970429673,2.16207095618,0.0,0.0,1.85583932782,5.577,27.4667243145,22.7271092422,3.0011,1.7385150723
 01/02  02:00:00,9.58774056504,0.0,0.0,0.0,0.618613109274,5.0,3.59317177216,0.0,3.0011,0.592071772155
 01/02  03:00:00,9.62351050098,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
