Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,40.1718641411,5.7123362606,3.8931010152,0.0,12.925468867,10.100111941,14.7040336491,14.6840336491,0.0,0.02
 01/01  02:00:00,39.6486221511,5.6568193618,3.42658383851,0.0,12.925468867,10.100111941,19.5687725325,13.8083582011,0.0,5.76041433138
 01/01  03:00:00,34.4183953679,5.58703355159,2.88517912762,0.0,8.34152022915,10.0650221343,19.8858610799,14.1255555776,0.0,5.76030550234
 01/01  04:00:00,33.9958963809,5.5403881705,2.50932813243,0.0,8.34152022915,10.0650221343,15.4913886766,15.4713886766,0.0,0.02
 01/01  05:00:00,34.9976631172,5.47433276212,1.97044008851,0.0,8.34152022915,11.6705166398,24.3868561262,18.6199408754,0.0,5.76691525076
 01/01  06:00:00,38.9509928405,5.44956028055,1.79014123305,0.0,8.80141237637,15.3678112995,24.1418015882,18.3682669835,0.0,5.77353460467
 01/01  07:00:00,59.9002101438,5.56624695107,2.64588270495,0.0,18.5082010057,25.6353820695,28.4013906166,16.8491892917,0.0,11.5522013249
 01/01  08:00:00,72.7753026307,5.78999370893,4.49398522462,0.0,19.4926561212,41.1001056674,24.9818769984,13.3628039995,0.0,11.6190729989
 01/01  09:00:00,100.350255144,6.28079310783,9.70440062499,0.0,26.3286599382,57.9988325916,47.0437998399,5.54110032346,0.0,41.5026995164
 01/01  10:00:00,86.5256153742,6.14880167633,11.285634175,0.0,26.2443270014,42.8153538416,49.6559817304,2.15974367693,18.025,29.4712380535
 01/01  11:00:00,62.2665840881,6.04800677321,11.0022925418,0.0,21.7447113004,23.4437158914,47.9108577821,0.509509898093,18.025,29.376347884
 01/01  12:00:00,61.6064241115,6.22126675443,12.5710952066,0.0,19.3449162599,23.4437158914,41.4736748528,0.0,18.025,23.4486748528
 01/01  13:00:00,63.9317970722,6.36241194248,14.6133436724,0.0,19.190480192,23.7425572507,41.4124347219,0.0,18.025,23.3874347219
 01/01  14:00:00,64.0438361929,6.41043650967,14.6512346703,0.0,19.260583323,23.698576057,41.4097593593,0.0,18.025,23.3847593593
 01/01  15:00:00,64.4144853802,6.448030642,14.9842916598,0.0,19.260583323,23.698576057,35.5757122577,0.0,18.025,17.5507122577
 01/01  16:00:00,62.8268079691,6.36711193988,13.7674861767,0.0,19.260583323,23.4086260847,41.4209755156,0.0,18.025,23.3959755156
 01/01  17:00:00,66.9686289025,6.24648384885,11.6946013103,0.0,19.260583323,27.8781056672,23.7916896778,0.0,18.025,5.76668967778
 01/01  18:00:00,79.5888314427,6.30742982433,9.97928705931,0.0,18.1807569449,37.5792895564,6.09770528134,0.325625475605,0.0,5.77207980574
 01/01  19:00:00,94.2426991609,6.47493361036,10.5719764487,0.0,32.6059821062,37.0465235296,15.1542208848,3.61506095629,0.0,11.5391599286
 01/01  20:00:00,95.0544668616,6.57254660202,11.0548552191,0.0,36.8143715336,33.066984531,11.782463264,5.98991561148,0.0,5.7925476525
 01/01  21:00:00,101.043973816,6.68901600732,11.5683871592,0.0,36.43363367,38.8072253906,20.5857840771,9.01980160645,0.0,11.5659824707
 01/01  22:00:00,97.4507823646,6.59138185017,10.4295443419,0.0,36.0963922311,36.7877557581,24.2443894885,12.6791709664,0.0,11.5652185221
 01/01  23:00:00,72.5794492328,6.1757640249,7.29356735297,0.0,30.9507766546,20.6087787026,26.7411738778,15.121890819,0.0,11.6192830588
 01/01  24:00:00,47.1309683423,5.80773616854,4.64804368917,0.0,17.4250845679,11.7056064465,27.8431651589,16.2901793271,0.0,11.5529858318
 01/02  01:00:00,38.3461714689,5.66328716566,3.43576680623,0.0,11.6412384099,10.0650221343,17.8303265414,17.8103265414,0.0,0.02
 01/02  02:00:00,36.1619873246,5.59634113129,2.87932636241,0.0,10.0992000411,10.047477231,23.5567487617,17.7962681858,0.0,5.76048057587
 01/02  03:00:00,33.9293245044,5.55196254629,2.55059704087,0.0,8.25718729233,10.0299323277,23.2768984594,17.5171461124,0.0,5.75975234705
 01/02  04:00:00,33.5587301372,5.51030874643,2.22165886051,0.0,8.25718729233,10.0299323277,24.6527903807,18.8930415854,0.0,5.75974879524
 01/02  05:00:00,34.9002690491,5.47947789844,1.98732007704,0.0,8.25718729233,11.6354268332,19.9134933397,19.8934933397,0.0,0.02
 01/02  06:00:00,42.5439135564,5.48697692082,2.04349199634,0.0,12.1011305571,15.3678112995,30.7254060584,19.1721645675,0.0,11.5532414909
 01/02  07:00:00,74.2938503416,5.76094850393,3.99067020822,0.0,19.7275818095,37.2640762949,29.9833015331,18.3650855336,0.0,11.6182159995
 01/02  08:00:00,89.4194619669,6.00764388779,5.91705656989,0.0,24.3117294858,51.2795993405,39.5546911091,16.229240053,0.0,23.3254510561
 01/02  09:00:00,76.0728247688,5.80847912706,5.92917105029,0.0,23.6694662846,40.6342015617,37.3426175932,7.8640471459,0.0,29.4785704473
 01/02  10:00:00,74.1740220719,5.90020498694,8.94626819861,0.0,23.6694662846,35.6302164847,52.1584052856,4.76140966849,18.025,29.3719956171
 01/02  11:00:00,55.9602552652,5.81799558766,8.41160806734,0.0,18.7433767983,22.9618409725,45.8835567509,4.40560091234,18.025,23.4529558385
 01/02  12:00:00,56.9787005019,5.90881303931,9.34166344205,0.0,18.7433767983,22.9618409725,44.0470906949,2.62479283791,18.025,23.3972978569
 01/02  13:00:00,57.0688722909,5.89146932805,9.40573114904,0.0,18.5889407304,23.1597249699,44.4261005841,3.01198057876,18.025,23.3891200053
 01/02  14:00:00,55.8083367271,5.77214694141,8.01801386242,0.0,18.7433767983,23.2517909448,43.4565857722,2.04446634857,18.025,23.3871194236
 01/02  15:00:00,55.9166797796,5.80466365769,8.09383964219,0.0,18.7433767983,23.2517909448,37.735676003,2.16893177649,18.025,17.5417442265
 01/02  16:00:00,56.1702503781,5.86322278968,8.57880513686,0.0,18.7433767983,22.9618409725,44.4557000649,3.03249245004,18.025,23.3982076148
 01/02  17:00:00,61.115065502,5.79951147712,7.2520028955,0.0,18.7433767983,27.431320555,27.4963198267,3.70468052821,18.025,5.76663929849
 01/02  18:00:00,78.1961620916,5.94461725277,6.34755880221,0.0,17.6635504202,40.6971502883,16.0582391908,4.51854812506,0.0,11.5396910657
 01/02  19:00:00,85.8805447288,6.0923070797,7.37897201319,0.0,27.5259009287,37.3340067412,19.2755014333,7.66952632025,0.0,11.6059751131
 01/02  20:00:00,89.024224809,6.19556705376,8.09436487283,0.0,33.8341110165,33.3544677425,20.7624337584,9.19886629226,0.0,11.5635674662
 01/02  21:00:00,98.2948488857,6.36419726511,9.0421998215,0.0,36.5179666069,38.8247702939,17.9091599258,12.1164159871,0.0,5.79274393872
 01/02  22:00:00,92.8095692534,6.38945031481,9.04626748805,0.0,32.965339924,36.8579353714,30.7979353414,13.3794870539,0.0,17.4184482875
 01/02  23:00:00,65.7350572201,5.97184371217,5.93684383596,0.0,25.6355707503,20.6438685092,27.0038426144,15.4250946065,0.0,11.5787480079
 01/02  24:00:00,43.4891562771,5.66206754601,3.55412047323,0.0,15.0252895274,11.7056064465,22.8475531339,17.074065311,0.0,5.77348782295
 01/03  01:00:00,37.7236393507,5.58741831314,2.88909959453,0.0,11.6412384099,10.0650221343,22.1685207198,16.4015527186,0.0,5.76696800122
 01/03  02:00:00,35.7638817691,5.54574998241,2.53181081816,0.0,10.0992000411,10.047477231,16.0938441787,16.0738441787,0.0,0.02
 01/03  03:00:00,33.5339595245,5.50265099503,2.2045419097,0.0,8.25718729233,10.0299323277,22.0979398047,16.3375913879,0.0,5.76034841686
 01/03  04:00:00,33.3769014203,5.4825576245,2.06757756617,0.0,8.25718729233,10.0299323277,21.2896636723,15.5292868184,0.0,5.76037685385
 01/03  05:00:00,34.7966049782,5.46036696051,1.90276354022,0.0,8.25718729233,11.6354268332,21.9011277484,16.1349982602,0.0,5.76612948824
 01/03  06:00:00,42.5130300854,5.47584451031,2.02373741002,0.0,12.1011305571,15.3678112995,20.7295961276,14.9427491464,0.0,5.78684698123
