Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,93.1301144293,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,92.1517530522,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,91.4980457006,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557493778,0.0,1.75125,1.16432493778
 01/01  04:00:00,90.752001939,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,96.0666701626,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,94.5348972874,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556065035,0.0,1.75125,1.16431065035
 01/01  07:00:00,133.126794268,26.8688324486,0.0,0.0,6.98738001645,14.1499734587,296.976344192,293.453844192,3.5025,0.02
 01/01  08:00:00,135.79004687,26.8688324486,0.0,0.0,6.98738001645,14.1499734587,261.028110881,257.505610881,3.5025,0.02
 01/01  09:00:00,169.940611939,26.8688324486,0.0,0.0,6.98738001645,14.1499734587,208.379350627,203.712443342,3.5025,1.16440728486
 01/01  10:00:00,152.453145935,26.8688324486,0.0,0.0,6.98738001645,14.1499734587,177.014368455,173.491868455,3.5025,0.02
 01/01  11:00:00,193.77095621,26.8688324486,0.145202741829,0.0,27.9495200658,27.7759469175,121.621727656,113.451927999,7.005,1.16479965772
 01/01  12:00:00,228.530239792,26.8688324486,0.34784297451,0.0,27.9495200658,27.7759469175,80.2034029527,72.033593015,7.005,1.16480993774
 01/01  13:00:00,248.729309578,26.8688324486,1.51052532738,0.0,41.9242800987,36.8599292233,45.9095634623,35.4045851093,9.34,1.16497835299
 01/01  14:00:00,247.343348942,26.8688324486,1.82562535565,0.0,41.9242800987,36.8599292233,42.7103970925,32.2055261562,9.34,1.16487093633
 01/01  15:00:00,240.512360245,26.8688324486,2.03875922726,0.0,41.9242800987,36.8599292233,38.4990245378,29.1390245378,9.34,0.02
 01/01  16:00:00,233.214788327,26.8688324486,1.87204632525,0.0,41.9242800987,36.8599292233,51.6542222615,41.1493110116,9.34,1.16491124995
 01/01  17:00:00,233.296498251,26.8688324486,1.61898798514,0.0,41.9242800987,36.8599292233,67.7558567239,57.251024223,9.34,1.16483250095
 01/01  18:00:00,211.221685074,26.8688324486,0.533714273056,0.0,27.9495200658,27.7759469175,99.3357066564,91.165837082,7.005,1.16486957439
 01/01  19:00:00,209.883985589,26.8688324486,0.0,0.0,13.9747600329,18.6919646116,139.592022577,133.757379536,4.67,1.16464304103
 01/01  20:00:00,189.457562233,26.8688324486,0.0,0.0,13.9747600329,18.6919646116,156.968346946,152.278346946,4.67,0.02
 01/01  21:00:00,175.888397635,26.8688324486,0.0,0.0,13.9747600329,18.6919646116,176.178121049,170.343512889,4.67,1.16460815995
 01/01  22:00:00,155.282556244,26.8688324486,0.0,0.0,13.9747600329,18.6919646116,160.126484057,154.291991977,4.67,1.1644920805
 01/01  23:00:00,95.7795843492,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,129.027282203,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,100.831279332,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923840921,0.0,2.335,1.16423840921
 01/02  02:00:00,92.2407265287,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,90.9331100545,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
