Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3697008074,3.91281267603,0.0,0.0,4.58992532963,8.1892,129.233071803,117.807674463,3.33988,8.08551733988
 01/01  02:00:00,14.6490255347,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6670483185,0.0,0.0,0.0,1.52997510988,7.4902,3.93195175365,0.0,3.33988,0.592071753651
 01/01  04:00:00,14.6744029135,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.823849067,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.5101827495,3.91281267603,0.0115052165028,0.0,4.58992532963,8.1892,125.694950764,116.753155894,8.3497,0.592094869092
 01/01  07:00:00,38.4663600602,3.91281267603,0.0112473433708,0.0,9.17985065927,19.4245,136.274539011,114.38408585,16.6994,5.19105316112
 01/01  08:00:00,43.8124727388,3.91281267603,0.00966323386153,0.0,9.17985065927,26.9147,134.06226268,104.398033916,25.0491,4.61512876349
 01/01  09:00:00,41.7007523755,3.91281267603,0.0,0.0,9.17985065927,26.9147,141.603401951,103.01353451,33.3988,5.19106744082
 01/01  10:00:00,34.2119643093,3.91281267603,0.0,0.0,9.17985065927,19.4245,137.113409445,106.873577876,25.0491,5.19073156891
 01/01  11:00:00,41.7103154893,3.91281267603,0.00456650799309,0.0,9.17985065927,26.9147,160.742371256,103.298588227,41.7485,15.6952830285
 01/01  12:00:00,42.481329682,3.91281267603,0.0,0.0,9.17985065927,26.9147,158.198273134,100.174807373,41.7485,16.2749657607
 01/01  13:00:00,41.7567004626,3.91281267603,0.0,0.0,9.17985065927,26.9147,149.857801739,95.3572178735,41.7485,12.7520838657
 01/01  14:00:00,34.2315684707,3.91281267603,0.0,0.0,9.17985065927,19.4245,143.257568226,96.5256060824,33.3988,13.3331621441
 01/01  15:00:00,34.2326836765,3.91281267603,0.0,0.0,9.17985065927,19.4245,137.593790568,103.291021669,25.0491,9.25366889914
 01/01  16:00:00,34.2199225615,3.91281267603,0.0,0.0,9.17985065927,19.4245,152.461067453,109.23278402,33.3988,9.82948343267
 01/01  17:00:00,44.8227469594,3.91281267603,0.00318977991324,0.0,9.17985065927,26.9147,170.498288343,110.570615461,50.0982,9.82947288157
 01/01  18:00:00,45.8878399385,3.91281267603,0.0,0.0,9.17985065927,26.9147,169.774461675,106.736876822,50.0982,12.9393848532
 01/01  19:00:00,45.8913330079,3.91281267603,0.0,0.0,9.17985065927,26.9147,167.1368388,100.945965359,50.0982,16.0926734407
 01/01  20:00:00,38.5361502889,3.91281267603,0.0,0.0,9.17985065927,19.4245,150.221041709,100.547415513,33.3988,16.2748261963
 01/01  21:00:00,38.5175943966,3.91281267603,0.0,0.0,9.17985065927,19.4245,147.20603469,101.054558208,33.3988,12.7526764815
 01/01  22:00:00,38.4483080471,3.91281267603,0.0,0.0,9.17985065927,19.4245,152.370970962,111.047052356,25.0491,16.2748186057
 01/01  23:00:00,38.3402053929,3.91281267603,0.0,0.0,9.17985065927,19.4245,143.455821564,114.001675416,16.6994,12.7547461476
 01/01  24:00:00,39.1503938285,3.91281267603,0.0,0.0,9.17985065927,19.4245,130.93382105,116.236638626,8.3497,6.34748242429
 01/02  01:00:00,22.3906923323,3.91281267603,0.0,0.0,4.58992532963,8.1892,135.094430564,124.829486474,3.33988,6.92506409005
 01/02  02:00:00,14.6307425881,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.6514960532,0.0,0.0,0.0,1.52997510988,7.4902,3.93195811927,0.0,3.33988,0.592078119266
 01/02  04:00:00,14.6647496802,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8161220369,0.0,0.0,0.0,1.52997510988,7.4902,3.93196401305,0.0,3.33988,0.59208401305
 01/02  06:00:00,22.5047859579,3.91281267603,0.00647695534371,0.0,4.58992532963,8.1892,127.652313098,119.282613098,8.3497,0.02
 01/02  07:00:00,38.4656909193,3.91281267603,0.0109058836213,0.0,9.17985065927,19.4245,137.337688292,115.448577622,16.6994,5.18971067033
 01/02  08:00:00,43.8171273462,3.91281267603,0.0136292290038,0.0,9.17985065927,26.9147,157.45417834,113.167016935,25.0491,19.2380614048
 01/02  09:00:00,41.7019467336,3.91281267603,0.0,0.0,9.17985065927,26.9147,165.844375845,114.983068043,33.3988,17.4625078016
 01/02  10:00:00,34.218615371,3.91281267603,0.0,0.0,9.17985065927,19.4245,143.540363932,103.978024036,25.0491,14.5132398957
 01/02  11:00:00,41.7148167075,3.91281267603,0.00138414164378,0.0,9.17985065927,26.9147,152.800996759,97.7201414565,41.7485,13.3323553022
 01/02  12:00:00,42.4856546832,3.91281267603,0.0,0.0,9.17985065927,26.9147,135.931703204,79.6694966822,41.7485,14.5137065213
 01/02  13:00:00,41.7654033807,3.91281267603,0.0,0.0,9.17985065927,26.9147,119.565425584,65.0622792588,41.7485,12.7546463256
 01/02  14:00:00,34.2407156973,3.91281267603,0.0,0.0,9.17985065927,19.4245,111.081089895,66.1043210305,33.3988,11.5779688648
 01/02  15:00:00,34.2394624906,3.91281267603,0.0,0.0,9.17985065927,19.4245,107.362037473,72.4827909813,25.0491,9.83014649163
 01/02  16:00:00,34.2271352073,3.91281267603,0.0,0.0,9.17985065927,19.4245,120.503276644,77.8523704047,33.3988,9.25210623925
 01/02  17:00:00,44.833523987,3.91281267603,0.00359350485549,0.0,9.17985065927,26.9147,138.233232642,78.305911259,50.0982,9.82912138296
 01/02  18:00:00,45.9003519233,3.91281267603,0.0,0.0,9.17985065927,26.9147,139.118987284,75.6881439815,50.0982,13.3326433028
 01/02  19:00:00,45.9081963675,3.91281267603,0.00165693941526,0.0,9.17985065927,26.9147,137.702269089,70.1378751349,50.0982,17.4661939545
 01/02  20:00:00,38.5495219299,3.91281267603,0.0,0.0,9.17985065927,19.4245,124.18109062,71.5451359563,33.3988,19.2371546639
 01/02  21:00:00,38.5313106025,3.91281267603,0.0,0.0,9.17985065927,19.4245,120.014860836,70.3398121182,33.3988,16.2762487175
 01/02  22:00:00,38.4608201953,3.91281267603,0.0,0.0,9.17985065927,19.4245,118.6276081,76.114793811,25.0491,17.4637142894
 01/02  23:00:00,38.350943231,3.91281267603,0.0,0.0,9.17985065927,19.4245,110.875803808,79.6633027188,16.6994,14.5131010897
 01/02  24:00:00,39.1591530349,3.91281267603,0.0,0.0,9.17985065927,19.4245,99.6361882522,83.1991824436,8.3497,8.08730580856
 01/03  01:00:00,22.4003481136,3.91281267603,0.0,0.0,4.58992532963,8.1892,101.465003281,91.2000014258,3.33988,6.92512185478
 01/03  02:00:00,14.6484101223,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.6717564699,0.0,0.0,0.0,1.52997510988,7.4902,3.93196210905,0.0,3.33988,0.592082109045
 01/03  04:00:00,14.685139917,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3510408197,0.0,0.0,0.0,1.52997510988,7.4902,3.9319679965,0.0,3.33988,0.592087996497
 01/03  06:00:00,23.0256143324,3.91281267603,0.00118065748618,0.0,4.58992532963,8.1892,103.481721235,95.1120212348,8.3497,0.02
 01/03  07:00:00,38.705356401,3.91281267603,0.012530033086,0.0,9.17985065927,19.4245,112.340713328,90.4514934203,16.6994,5.18981990784
 01/03  08:00:00,43.8307212171,3.91281267603,0.0130513047743,0.0,9.17985065927,26.9147,126.204284628,81.9153461105,25.0491,19.2398385177
 01/03  09:00:00,41.7190618,3.91281267603,0.0,0.0,9.17985065927,26.9147,131.565798554,80.7031657001,33.3988,17.4638328536
 01/03  10:00:00,34.232594086,3.91281267603,0.0,0.0,9.17985065927,19.4245,122.255855227,82.1141128098,25.0491,15.0926424167
 01/03  11:00:00,41.7279514792,3.91281267603,0.00923125737205,0.0,9.17985065927,26.9147,139.190012445,84.6868991953,41.7485,12.7546132502
 01/03  12:00:00,42.4919816957,3.91281267603,0.0,0.0,9.17985065927,26.9147,131.415489669,75.1543497015,41.7485,14.5126399671
 01/03  13:00:00,41.7711560037,3.91281267603,0.0,0.0,9.17985065927,26.9147,121.078838076,66.5776033293,41.7485,12.7527347462
 01/03  14:00:00,34.2459179947,3.91281267603,0.0,0.0,9.17985065927,19.4245,116.441317586,71.4621862742,33.3988,11.5803313119
 01/03  15:00:00,34.2462920492,3.91281267603,0.0,0.0,9.17985065927,19.4245,113.501644604,78.6214767207,25.0491,9.83106788304
 01/03  16:00:00,34.2303647761,3.91281267603,0.0,0.0,9.17985065927,19.4245,125.579623886,82.3502647371,33.3988,9.83055914886
 01/03  17:00:00,44.8366621559,3.91281267603,0.00854258272477,0.0,9.17985065927,26.9147,141.662152176,81.7325160858,50.0982,9.83143609023
 01/03  18:00:00,45.8983484632,3.91281267603,0.0,0.0,9.17985065927,26.9147,141.6350795,78.7827995531,50.0982,12.7540799466
 01/03  19:00:00,45.9074332824,3.91281267603,0.00152847464024,0.0,9.17985065927,26.9147,145.67348289,77.5294701075,50.0982,18.0458127826
 01/03  20:00:00,38.4064063504,3.91281267603,0.0,0.0,9.17985065927,19.4245,135.442758836,82.8044285101,33.3988,19.2395303261
 01/03  21:00:00,38.3950688662,3.91281267603,0.0,0.0,9.17985065927,19.4245,131.996950913,82.3262951762,33.3988,16.2718557364
 01/03  22:00:00,38.3549275903,3.91281267603,0.0,0.0,9.17985065927,19.4245,130.533909756,88.0211306981,25.0491,17.4636790579
 01/03  23:00:00,38.347682835,3.91281267603,0.0,0.0,9.17985065927,19.4245,119.717861401,88.5072218237,16.6994,14.5112395768
 01/03  24:00:00,39.1571904241,3.91281267603,0.0,0.0,9.17985065927,19.4245,109.686334058,93.2505398032,8.3497,8.08609425524
 01/04  01:00:00,22.3964675297,3.91281267603,0.0,0.0,4.58992532963,8.1892,117.451859674,107.186922978,3.33988,6.92505669612
 01/04  02:00:00,14.6411123508,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.6605369971,0.0,0.0,0.0,1.52997510988,7.4902,3.93196696492,0.0,3.33988,0.592086964922
 01/04  04:00:00,14.670626742,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.8187154851,0.0,0.0,0.0,1.52997510988,7.4902,3.93194702366,0.0,3.33988,0.592067023663
 01/04  06:00:00,22.5038563593,3.91281267603,0.00621755861764,0.0,4.58992532963,8.1892,138.362366746,129.992666746,8.3497,0.02
 01/04  07:00:00,38.4637018646,3.91281267603,0.0104229927457,0.0,9.17985065927,19.4245,148.864144184,126.974138868,16.6994,5.19060531547
 01/04  08:00:00,43.8146805918,3.91281267603,0.0125020464505,0.0,9.17985065927,26.9147,160.265623801,115.975842069,25.0491,19.2406817315
 01/04  09:00:00,41.7028285525,3.91281267603,0.0,0.0,9.17985065927,26.9147,163.116895163,112.252743149,33.3988,17.4653520142
 01/04  10:00:00,34.2171991396,3.91281267603,0.0,0.0,9.17985065927,19.4245,149.846977691,109.704401958,25.0491,15.0934757336
 01/04  11:00:00,41.7072826643,3.91281267603,0.00165287443574,0.0,9.17985065927,26.9147,163.083877589,108.581132752,41.7485,12.7542448363
 01/04  12:00:00,42.4792664575,3.91281267603,0.0,0.0,9.17985065927,26.9147,152.512417557,96.2521991595,41.7485,14.5117183973
