Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,562.995820723,96.6510916061,100.387701989,0.0,34.9616554283,113.312780494,872.52500264,849.385205485,5.66466996096,17.4751271935
 01/01  02:00:00,590.518063146,96.6510916061,122.544895113,0.0,34.9616554283,113.312780494,830.307919235,807.16649397,5.66466996096,17.4767553037
 01/01  03:00:00,564.087679246,96.6510916061,94.15884994,0.0,34.9616554283,113.312780494,933.451525405,910.308578932,5.66466996096,17.4782765123
 01/01  04:00:00,564.460431496,96.6510916061,100.173654942,0.0,34.9616554283,113.312780494,911.347568149,888.203127992,5.66466996096,17.4797701961
 01/01  05:00:00,595.884969194,96.6510916061,125.719535334,0.0,44.4937663224,113.312780494,837.798668623,814.652743784,5.66466996096,17.4812548782
 01/01  06:00:00,588.522402478,96.6510916061,122.363921585,0.0,44.4937663224,113.312780494,872.205370334,840.568608103,14.1616749024,17.4750873287
 01/01  07:00:00,642.770140869,96.6510916061,109.101687196,0.0,54.0258772165,176.889270242,868.812540658,823.012722753,28.3233498048,17.4764681009
 01/01  08:00:00,634.008580244,96.6510916061,99.7198607504,0.0,54.0258772165,184.38654557,895.781049688,835.818092769,42.4850247072,17.4779322114
 01/01  09:00:00,705.699708766,96.6510916061,96.4465063048,0.0,65.1572554096,220.04316451,877.386938912,794.38093209,56.6466996096,26.3593072125
 01/01  10:00:00,711.746721646,96.6510916061,108.14930693,0.0,65.1572554096,212.545889182,815.495761276,737.676455291,42.4850247072,35.3342812771
 01/01  11:00:00,727.837910346,96.6510916061,115.420358141,0.0,65.1572554096,220.04316451,812.391640194,706.050338618,70.808374512,35.5329270641
 01/01  12:00:00,731.92773428,96.6510916061,116.102453536,0.0,65.1572554096,220.04316451,803.022954009,696.679470965,70.808374512,35.5351085316
 01/01  13:00:00,735.035280501,96.6510916061,116.712435574,0.0,65.1572554096,220.04316451,797.504520011,691.158140384,70.808374512,35.5380051147
 01/01  14:00:00,731.07413877,96.6510916061,117.293277919,0.0,65.1572554096,212.545889182,778.725800997,686.538174254,56.6466996096,35.5409271343
 01/01  15:00:00,718.293334007,96.6510916061,105.566596867,0.0,65.1572554096,212.545889182,785.195949494,707.167086767,42.4850247072,35.5438380197
 01/01  16:00:00,703.854063647,96.6510916061,91.4262121441,0.0,65.1572554096,212.545889182,837.170870487,744.977435017,56.6466996096,35.5467358602
 01/01  17:00:00,681.00791227,96.6510916061,80.0708730912,0.0,65.1572554096,220.04316451,909.278282572,788.758612547,84.9700494144,35.5496206109
 01/01  18:00:00,646.689294507,96.6510916061,89.0358942196,0.0,54.0258772165,184.38654557,896.407180322,776.099995728,84.9700494144,35.3371351803
 01/01  19:00:00,624.251044013,96.6510916061,96.7824613732,0.0,44.4937663224,163.454314868,891.574546337,789.127651415,84.9700494144,17.4768455071
 01/01  20:00:00,614.827306257,96.6510916061,96.2593553732,0.0,44.4937663224,155.95703954,877.20272592,803.077748792,56.6466996096,17.4782775178
 01/01  21:00:00,576.072645193,96.6510916061,89.4415909326,0.0,44.4937663224,124.558693486,930.820776067,856.694326129,56.6466996096,17.4797503288
 01/01  22:00:00,564.798259382,96.6510916061,78.3679404835,0.0,44.4937663224,124.558693486,953.272113159,893.305858315,42.4850247072,17.481230136
 01/01  23:00:00,559.71304212,96.6510916061,80.9903213017,0.0,34.9616554283,124.558693486,939.929506772,894.131091345,28.3233498048,17.4750656218
 01/01  24:00:00,549.159282709,96.6510916061,71.6769158009,0.0,34.9616554283,124.558693486,955.298209224,923.660091352,14.1616749024,17.4764429697
 01/02  01:00:00,542.549548422,96.6510916061,69.2463143908,0.0,46.0930336215,113.312780494,951.159092556,928.016207913,5.66466996096,17.4782146815
 01/02  02:00:00,569.057435278,96.6510916061,92.1272782785,0.0,46.0930336215,113.312780494,889.988999795,866.844355694,5.66466996096,17.4799741401
 01/02  03:00:00,588.994138585,96.6510916061,110.038964732,0.0,46.0930336215,113.312780494,863.80292572,831.929100636,5.66466996096,26.2091551229
 01/02  04:00:00,582.194659158,96.6510916061,107.87015275,0.0,46.0930336215,113.312780494,878.7305704,855.589724006,5.66466996096,17.4761764334
 01/02  05:00:00,671.109163114,96.6510916061,110.423156438,0.0,100.150657288,148.969399434,842.383085119,819.24072922,5.66466996096,17.4776859381
 01/02  06:00:00,671.922891269,96.6510916061,108.636324937,0.0,100.150657288,149.894399434,1403.15764126,1371.51671775,14.1616749024,17.4792486044
 01/02  07:00:00,890.019061309,96.6510916061,99.5806925199,0.0,176.471037341,302.612436532,981.734308554,935.930198543,28.3233498048,17.4807602064
 01/02  08:00:00,978.507762393,96.6510916061,70.4215997555,0.0,243.2593065,310.10971186,999.859048815,930.847197181,42.4850247072,26.5268269275
 01/02  09:00:00,999.467220969,96.6510916061,56.0083604256,0.0,243.2593065,310.10971186,1021.8006315,920.653084759,56.6466996096,44.5008471351
 01/02  10:00:00,1074.94160599,96.6510916061,103.09074997,0.0,243.2593065,302.612436532,839.941584187,752.719657737,42.4850247072,44.7369017429
 01/02  11:00:00,1115.09723618,96.6510916061,137.1237895,0.0,243.2593065,310.10971186,764.283865963,648.393714692,70.808374512,45.0817767596
 01/02  12:00:00,1159.87510979,96.6524066017,179.766409654,0.0,243.2593065,310.10971186,675.319017609,550.274543206,70.808374512,54.2360998911
 01/02  13:00:00,1154.03004543,96.7055593379,214.571224616,0.0,243.2593065,310.10971186,615.333435239,499.647537682,70.808374512,44.8775230443
 01/02  14:00:00,1203.1681439,96.8223778668,229.613610363,0.0,243.2593065,302.612436532,596.332737348,485.443911528,56.6466996096,54.24212621
 01/02  15:00:00,1202.41846724,96.9542972494,232.112626851,0.0,243.2593065,302.612436532,564.895694742,468.315615185,42.4850247072,54.0950548496
 01/02  16:00:00,1201.43042377,97.0315883001,231.454798328,0.0,243.2593065,302.612436532,566.845561549,465.231607412,56.6466996096,44.9672545267
 01/02  17:00:00,1215.51516713,97.1044522741,226.69494794,0.0,243.2593065,310.10971186,619.899628993,490.28392455,84.9700494144,44.6456550287
 01/02  18:00:00,1210.40003456,97.1889590968,218.163972576,0.0,243.2593065,310.10971186,621.209018067,509.815285694,84.9700494144,26.4236829579
 01/02  19:00:00,942.114982458,96.6510916061,214.350865239,0.0,166.938926447,199.110933808,596.530700046,485.253553006,84.9700494144,26.3070976251
 01/02  20:00:00,933.511095266,96.6510916061,213.671846461,0.0,166.938926447,191.61365848,571.902299581,497.71378079,56.6466996096,17.5418191815
 01/02  21:00:00,802.112835185,96.6510916061,218.115438819,0.0,100.150657288,124.558693486,620.514107989,537.562237159,56.6466996096,26.3051712201
 01/02  22:00:00,762.634860863,96.6510916061,221.15277623,0.0,100.150657288,124.558693486,602.202645099,542.230585201,42.4850247072,17.4870351907
 01/02  23:00:00,693.616029063,96.6510916061,221.115587051,0.0,46.0930336215,124.558693486,612.153992874,566.349242593,28.3233498048,17.481400476
 01/02  24:00:00,693.47437047,96.6510916061,221.17475431,0.0,46.0930336215,124.558693486,609.638329689,578.001696716,14.1616749024,17.4749580711
