Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,638.07856636,97.0611049328,219.929171914,0.0,34.9616554283,113.312780494,685.615526896,671.211396978,5.66466996096,8.73945995787
 01/01  02:00:00,636.121208697,97.0611049328,213.277460392,0.0,34.9616554283,113.312780494,708.102580958,684.979384002,5.66466996096,17.4585269948
 01/01  03:00:00,635.656416097,97.0611049328,212.836356685,0.0,34.9616554283,113.312780494,709.382244125,686.259688976,5.66466996096,17.457885188
 01/01  04:00:00,635.388979769,97.0611049328,212.631431728,0.0,34.9616554283,113.312780494,711.193080581,688.071210876,5.66466996096,17.4571997439
 01/01  05:00:00,637.50744381,97.0611049328,207.278797074,0.0,44.4937663224,113.312780494,712.065140113,688.943965614,5.66466996096,17.4565045385
 01/01  06:00:00,634.473241625,97.0611049328,204.301509893,0.0,44.4937663224,113.312780494,725.850122403,694.232639626,14.1616749024,17.4558078746
 01/01  07:00:00,707.074504336,97.0611049328,204.062196351,0.0,54.0258772165,176.889270242,669.898432421,624.119970837,28.3233498048,17.4551117793
 01/01  08:00:00,711.783641131,97.0611049328,204.02227205,0.0,54.0258772165,184.38654557,675.699090608,615.759649155,42.4850247072,17.4544167455
 01/01  09:00:00,777.050163492,97.0611049328,203.641962886,0.0,65.1572554096,220.04316451,671.670718953,588.711019689,56.6466996096,26.3129996544
 01/01  10:00:00,770.768311713,97.0611049328,208.277488618,0.0,65.1572554096,212.545889182,643.383455151,574.441082837,42.4850247072,26.4573476064
 01/01  11:00:00,777.813796828,97.0611049328,211.179087305,0.0,65.1572554096,220.04316451,682.945046924,576.688652023,70.808374512,35.4480203884
 01/01  12:00:00,777.922249113,97.0611049328,211.266444956,0.0,65.1572554096,220.04316451,672.742869691,574.614870789,70.808374512,27.3196243898
 01/01  13:00:00,783.718822603,97.0611049328,217.614250606,0.0,65.1572554096,220.04316451,667.409433982,561.868452235,70.808374512,34.7326072351
 01/01  14:00:00,780.799273629,97.0611049328,221.675266566,0.0,65.1572554096,212.545889182,646.913663028,554.807314889,56.6466996096,35.4596485294
 01/01  15:00:00,774.464575678,97.0611049328,215.927216069,0.0,65.1572554096,212.545889182,643.529183393,565.589969371,42.4850247072,35.4541893143
 01/01  16:00:00,770.062141577,97.0611049328,211.944764424,0.0,65.1572554096,212.545889182,665.25710118,573.161626248,56.6466996096,35.4487753223
 01/01  17:00:00,755.930254666,97.0611049328,211.632986671,0.0,65.1572554096,220.04316451,688.844883188,571.633203901,84.9700494144,32.2416298728
 01/01  18:00:00,712.793849796,97.0611049328,211.46692531,0.0,54.0258772165,184.38654557,706.462460638,591.854453627,84.9700494144,29.6379575957
 01/01  19:00:00,685.177862164,97.0611049328,211.722011311,0.0,44.4937663224,163.454314868,730.019384627,627.594592623,84.9700494144,17.4547425898
 01/01  20:00:00,684.695226475,97.0611049328,217.602243099,0.0,44.4937663224,155.95703954,695.285927995,621.185180493,56.6466996096,17.4540478925
 01/01  21:00:00,657.547782219,97.0611049328,221.41971524,0.0,44.4937663224,124.558693486,707.783548193,633.683493972,56.6466996096,17.4533546123
 01/01  22:00:00,660.231395228,97.0611049328,226.666821144,0.0,44.4937663224,124.558693486,680.663981099,628.429541531,42.4850247072,9.74941486055
 01/01  23:00:00,654.788745578,97.0611049328,230.152728742,0.0,34.9616554283,124.558693486,685.665306814,640.896882796,28.3233498048,16.4450742134
 01/01  24:00:00,653.878786906,97.0611049328,230.209115185,0.0,34.9616554283,124.558693486,677.471551397,645.851409423,14.1616749024,17.4584670712
 01/02  01:00:00,657.913407874,97.0611049328,236.230139666,0.0,46.0930336215,113.312780494,665.592587342,642.469931586,5.66466996096,17.4579857944
 01/02  02:00:00,659.295801755,97.0611049328,239.920449677,0.0,46.0930336215,113.312780494,664.679168189,641.557010615,5.66466996096,17.4574876132
 01/02  03:00:00,663.472628153,97.0611049328,245.161778573,0.0,46.0930336215,113.312780494,661.514456001,638.392915869,5.66466996096,17.4568701709
 01/02  04:00:00,674.924054507,97.0611049328,255.060737912,0.0,46.0930336215,113.312780494,653.162248712,630.041354181,5.66466996096,17.45622457
 01/02  05:00:00,772.536746729,97.0611049328,265.240982077,0.0,100.150657288,148.969399434,602.668672189,579.546568554,5.66466996096,17.4574336734
 01/02  06:00:00,783.821654851,97.0611049328,274.820313361,0.0,100.150657288,149.894399434,1311.48545385,1279.86528545,14.1616749024,17.4584934963
 01/02  07:00:00,1011.6720036,97.0611049328,278.147527453,0.0,176.471037341,302.612436532,778.04930727,732.271716098,28.3233498048,17.4542413668
 01/02  08:00:00,1136.70405791,97.0611049328,284.428004894,0.0,243.2593065,310.10971186,696.49783699,627.543480784,42.4850247072,26.4693314995
 01/02  09:00:00,1182.31556351,97.0611049328,300.698119038,0.0,243.2593065,310.10971186,679.30314358,587.137753181,56.6466996096,35.5186907891
 01/02  10:00:00,1208.46316954,97.0611049328,296.998182179,0.0,243.2593065,302.612436532,650.548169054,563.467655721,42.4850247072,44.5954886255
 01/02  11:00:00,1221.76117988,97.0611049328,307.061878004,0.0,243.2593065,310.10971186,649.117639326,533.392546806,70.808374512,44.9167180081
