Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,150.792543473,31.1408644079,26.3511941852,0.26336214197,34.4311606118,33.1021868926,212.201698009,62.5328705945,3.33212,146.336707414
 01/01  02:00:00,144.396869645,31.1408644079,20.1159828598,0.0660666634505,34.4311606118,33.1021868926,166.066250899,54.0522699011,3.33212,108.681860998
 01/01  03:00:00,123.832537515,31.1408644079,17.073921738,0.0202217499136,19.466279405,30.610668775,168.16229965,49.7419168805,3.33212,115.08826277
 01/01  04:00:00,122.196189613,31.1408644079,15.4446897149,0.0217181695871,19.466279405,30.610668775,159.628173489,47.6055604231,3.33212,108.690493066
 01/01  05:00:00,129.740147991,31.1408644079,16.3893289791,0.0484703772983,19.466279405,30.610668775,196.254455896,46.8432372136,3.33212,146.079098683
 01/01  06:00:00,143.889152672,31.1408644079,18.2917295414,0.0497689464807,19.466279405,30.610668775,242.220970561,46.7716945912,8.3303,187.11897597
 01/01  07:00:00,225.567728798,31.1051876948,28.5221857537,0.0,42.6918050922,54.3732441037,320.771769274,45.9271255819,16.6606,258.184043692
 01/01  08:00:00,306.995715233,36.28226839,52.4054348613,0.102261615486,49.3960418185,88.5934452969,713.911238109,250.266170757,24.9909,438.654167353
 01/01  09:00:00,350.847987876,36.2665368248,78.5601003765,0.0,57.6566862989,112.030105488,936.490097088,280.523933131,33.3212,622.644963957
 01/01  10:00:00,275.749313663,36.3927708683,59.5259869643,0.0,50.9524495726,81.1684271793,787.348061921,275.649917853,66.8089,444.889244068
 01/01  11:00:00,202.168514703,36.4858109106,30.9107422386,0.0,42.6918050922,68.9656133826,710.94253326,290.914510486,83.4695,336.558522774
