Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,89.9193123145,24.5392543989,8.63091041643,6.32816912685,4.12243109448,15.9888894789,92.1473412434,89.1556108255,2.97173041782,0.02
 01/02  02:00:00,85.003535473,20.6754145645,6.68488481774,7.23668335125,4.12243109448,15.9888894789,79.9057054391,76.9139750213,2.97173041782,0.02
 01/02  03:00:00,98.686097362,25.8442682057,8.70277437711,10.3016779151,4.12243109448,15.9888894789,100.716081329,97.724350911,2.97173041782,0.02
 01/02  04:00:00,86.2419657104,20.6754145645,7.12406452602,8.96874808582,4.12243109448,15.9888894789,81.5812905268,78.589560109,2.97173041782,0.02
 01/02  05:00:00,122.814629417,30.5610500493,11.0126217171,9.11111049215,12.3672932834,24.9413748627,114.381967232,109.409083202,4.9528840297,0.02
 01/02  06:00:00,147.321794724,30.1223805489,14.3822562513,32.1026721208,12.3672932834,24.9413748627,177.334267724,172.361383694,4.9528840297,0.02
 01/02  07:00:00,201.826045952,31.1029473268,14.8110603154,29.6621902976,24.7345865669,70.7195625826,147.768074494,137.842306435,9.90576805939,0.02
 01/02  08:00:00,220.914451474,31.1894539954,15.1307701918,20.31442371,37.1018798503,92.3937384068,125.75113999,115.825371931,9.90576805939,0.02
 01/02  09:00:00,216.797323379,31.2314310642,15.9201758317,17.460925935,37.1018798503,104.434947198,118.142825188,108.217057129,9.90576805939,0.02
 01/02  10:00:00,225.146081429,31.2628848053,15.7588744296,15.6812761609,37.1018798503,116.476155989,123.862708757,105.32461923,9.90576805939,8.63232146806
 01/02  11:00:00,222.005706905,31.2965844811,16.1723000297,14.1419841955,37.1018798503,116.476155989,112.957788733,103.032020673,9.90576805939,0.02
 01/02  12:00:00,218.364175627,31.3637018866,16.75756717,11.7072956844,37.1018798503,116.476155989,118.291733109,99.7463098493,9.90576805939,8.63965520005
 01/02  13:00:00,206.168219257,31.4077507997,16.1972233849,10.3434062453,37.1018798503,104.434947198,107.469945225,97.5441771655,9.90576805939,0.02
 01/02  14:00:00,216.777123272,31.4350679794,14.9635660797,9.84872067284,37.1018798503,116.476155989,115.062472798,96.5169256228,9.90576805939,8.63977911573
 01/02  15:00:00,217.867679214,31.454994914,14.0659390043,9.6397590194,37.1018798503,116.476155989,108.157319569,96.2080093556,9.90576805939,2.04354215408
 01/02  16:00:00,218.144947652,31.4795148114,13.8469122598,9.19579505977,37.1018798503,116.476155989,112.200622177,95.6832724158,9.90576805939,6.61158170182
