Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6267206182,2.26919426461,0.0,0.0,1.85583932782,5.577,45.696477541,40.3833856523,3.0011,2.31199188863
 01/01  02:00:00,9.48773329959,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.51059867587,0.0,0.0,0.0,0.618613109274,5.0,3.59317982535,0.0,3.0011,0.592079825351
 01/01  04:00:00,9.52270435812,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.67269037753,0.0,0.0,0.0,0.618613109274,5.0,3.59318571643,0.0,3.0011,0.592085716426
 01/01  06:00:00,13.7732876924,2.26919426461,0.0,0.0,1.85583932782,5.577,49.8335807387,45.3119307387,4.50165,0.02
 01/01  07:00:00,28.2489382747,2.26919426461,0.0,0.0,3.71167865564,18.077,53.8063485765,38.5633948485,13.50495,1.73800372801
 01/01  08:00:00,27.5711877121,2.26919426461,0.0,0.0,3.71167865564,18.077,57.8412041907,35.0955220562,21.0077,1.73798213447
 01/01  09:00:00,20.6732116968,2.26919426461,0.0,0.0,3.71167865564,13.077,52.6675116566,36.4967729134,15.0055,1.16523874321
 01/01  10:00:00,20.6833475323,2.26919426461,0.0,0.0,3.71167865564,13.077,52.575131314,35.831574244,15.0055,1.73805706997
 01/01  11:00:00,25.679825849,2.26919426461,0.0,0.0,3.71167865564,18.077,70.7237140287,33.0971585454,33.0121,4.61445548338
 01/01  12:00:00,26.8381428234,2.26919426461,0.0,0.0,3.71167865564,18.077,76.0954957246,30.9657625324,40.51485,4.61488319217
 01/01  13:00:00,25.9040251516,2.26919426461,0.0,0.0,3.71167865564,18.077,69.1308600771,29.0809991308,36.0132,4.03666094624
 01/01  14:00:00,25.7042687334,2.26919426461,0.0,0.0,3.71167865564,18.077,64.1228265618,29.148894048,31.51155,3.46238251383
 01/01  15:00:00,20.7030665686,2.26919426461,0.0,0.0,3.71167865564,13.077,56.6675909994,32.1997437593,21.0077,3.46014724009
 01/01  16:00:00,20.6876207448,2.26919426461,0.0,0.0,3.71167865564,13.077,56.1681793791,33.7745645571,19.50715,2.88646482194
 01/01  17:00:00,22.5032661578,2.26919426461,0.0,0.0,3.71167865564,13.077,59.2780175867,33.8831699934,22.50825,2.88659759332
 01/01  18:00:00,28.1389840482,2.26919426461,0.0,0.0,3.71167865564,18.077,60.8914197009,31.9196047432,25.50935,3.46246495769
 01/01  19:00:00,28.1438785641,2.26919426461,0.0,0.0,3.71167865564,18.077,60.3444977214,30.2201135983,25.50935,4.61503412302
 01/01  20:00:00,28.2895004165,2.26919426461,0.0,0.0,3.71167865564,18.077,59.460578774,29.3357719622,25.50935,4.61545681184
 01/01  21:00:00,23.2745728181,2.26919426461,0.0,0.0,3.71167865564,13.077,56.1483905999,29.6029843227,22.50825,4.03715627728
 01/01  22:00:00,23.2079954682,2.26919426461,0.0,0.0,3.71167865564,13.077,55.0354855462,29.4134841927,21.0077,4.61430135351
 01/01  23:00:00,23.1050376111,2.26919426461,0.0,0.0,3.71167865564,13.077,52.5249470569,30.4814097023,18.0066,4.03693735457
 01/01  24:00:00,24.3042818098,2.26919426461,0.0,0.0,3.71167865564,13.077,37.6637888112,32.923968424,3.0011,1.73872038715
 01/02  01:00:00,13.8245105432,2.26919426461,0.0,0.0,1.85583932782,5.577,43.4719466351,38.1594474009,3.0011,2.31139923422
 01/02  02:00:00,9.48881660644,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.51345217116,0.0,0.0,0.0,0.618613109274,5.0,3.59317018526,0.0,3.0011,0.592070185258
 01/02  04:00:00,9.52792886814,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.68359366828,0.0,0.0,0.0,0.618613109274,5.0,3.59317609165,0.0,3.0011,0.592076091645
 01/02  06:00:00,13.7913506373,2.26919426461,0.0,0.0,1.85583932782,5.577,40.6105037628,36.0888537628,4.50165,0.02
 01/02  07:00:00,28.2700677916,2.26919426461,0.0,0.0,3.71167865564,18.077,43.8698157503,28.6268855996,13.50495,1.7379801507
 01/02  08:00:00,27.5992505746,2.26919426461,0.0,0.0,3.71167865564,18.077,49.7309701269,23.5308728916,21.0077,5.19239723534
 01/02  09:00:00,20.7101328041,2.26919426461,0.0,0.0,3.71167865564,13.077,43.0674247397,22.8710872514,15.0055,5.1908374883
 01/02  10:00:00,20.7169935544,2.26919426461,0.0,0.0,3.71167865564,13.077,43.8225761295,24.2045982162,15.0055,4.61247791326
 01/02  11:00:00,25.7185206606,2.26919426461,0.0,0.0,3.71167865564,18.077,57.0999166595,20.6249872584,33.0121,3.46282940102
 01/02  12:00:00,26.8700176121,2.26919426461,0.0,0.0,3.71167865564,18.077,61.8609892131,16.7330995955,40.51485,4.61303961762
 01/02  13:00:00,25.9492510975,2.26919426461,0.0,0.0,3.71167865564,18.077,55.3658341433,15.8897974206,36.0132,3.46283672267
 01/02  14:00:00,25.7333150075,2.26919426461,0.0,0.0,3.71167865564,18.077,54.3577353411,19.3846919593,31.51155,3.4614933818
 01/02  15:00:00,20.7203669394,2.26919426461,0.0,0.0,3.71167865564,13.077,48.3509903154,24.4565136566,21.0077,2.88677665885
 01/02  16:00:00,20.6977890735,2.26919426461,0.0,0.0,3.71167865564,13.077,49.2186634426,26.8247731623,19.50715,2.88674028035
 01/02  17:00:00,22.5173329943,2.26919426461,0.0,0.0,3.71167865564,13.077,51.4431780124,26.0479115623,22.50825,2.88701645006
 01/02  18:00:00,28.1593991531,2.26919426461,0.0,0.0,3.71167865564,18.077,52.4551408426,22.9091945387,25.50935,4.03659630387
 01/02  19:00:00,28.164793774,2.26919426461,0.0,0.0,3.71167865564,18.077,53.2371677742,22.5373962516,25.50935,5.19042152258
 01/02  20:00:00,28.3094674048,2.26919426461,0.0,0.0,3.71167865564,18.077,53.215884353,22.5142871484,25.50935,5.19224720454
 01/02  21:00:00,23.2965334172,2.26919426461,0.0,0.0,3.71167865564,13.077,50.4980973179,22.799571903,22.50825,5.19027541493
 01/02  22:00:00,23.2260073294,2.26919426461,0.0,0.0,3.71167865564,13.077,48.7126674279,23.0895023603,21.0077,4.61546506759
 01/02  23:00:00,23.1230753932,2.26919426461,0.0,0.0,3.71167865564,13.077,46.908580083,24.2891636413,18.0066,4.61281644168
 01/02  24:00:00,24.3213222333,2.26919426461,0.0,0.0,3.71167865564,13.077,30.9076164063,25.5944987274,3.0011,2.31201767885
 01/03  01:00:00,13.8529593774,2.26919426461,0.0,0.0,1.85583932782,5.577,34.9511857768,29.6390062475,3.0011,2.31107952936
 01/03  02:00:00,9.51872211335,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  03:00:00,9.53834271575,0.0,0.0,0.0,0.618613109274,5.0,3.59314474139,0.0,3.0011,0.592044741386
 01/03  04:00:00,9.54540883629,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.2093659464,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.299846479,2.26919426461,0.0,0.0,1.85583932782,5.577,40.0270306688,34.9332911735,4.50165,0.5920894953
 01/03  07:00:00,28.4860621276,2.26919426461,0.0,0.0,3.71167865564,18.077,44.0205452789,28.7778445996,13.50495,1.73775067925
 01/03  08:00:00,27.5808495367,2.26919426461,0.0,0.0,3.71167865564,18.077,51.2007735101,25.0001573321,21.0077,5.19291617803
 01/03  09:00:00,20.6868783206,2.26919426461,0.0,0.0,3.71167865564,13.077,45.6311024986,25.4353366559,15.0055,5.19026584271
 01/03  10:00:00,20.7033784658,2.26919426461,0.0,0.0,3.71167865564,13.077,43.9301503554,24.3113231883,15.0055,4.61332716715
 01/03  11:00:00,25.7098931194,2.26919426461,0.0,0.0,3.71167865564,18.077,56.3807207106,19.9052119768,33.0121,3.46340873376
 01/03  12:00:00,26.8581320254,2.26919426461,0.0,0.0,3.71167865564,18.077,61.4883197563,16.3608121723,40.51485,4.61265758406
 01/03  13:00:00,25.9338720352,2.26919426461,0.0,0.0,3.71167865564,18.077,54.6283007264,15.1521304379,36.0132,3.46297028848
 01/03  14:00:00,25.7278222246,2.26919426461,0.0,0.0,3.71167865564,18.077,51.5344607175,16.5618690453,31.51155,3.46104167224
 01/03  15:00:00,20.7200584246,2.26919426461,0.0,0.0,3.71167865564,13.077,44.2820944589,20.3876801891,21.0077,2.88671426986
 01/03  16:00:00,20.6961054694,2.26919426461,0.0,0.0,3.71167865564,13.077,45.5622489512,23.1680897604,19.50715,2.88700919085
 01/03  17:00:00,22.511753691,2.26919426461,0.0,0.0,3.71167865564,13.077,49.483984713,24.0885575182,22.50825,2.88717719479
 01/03  18:00:00,28.1516133923,2.26919426461,0.0,0.0,3.71167865564,18.077,52.1529511712,22.6068949814,25.50935,4.03670618983
 01/03  19:00:00,28.1571491572,2.26919426461,0.0,0.0,3.71167865564,18.077,53.5689408103,22.8682100163,25.50935,5.19138079395
 01/03  20:00:00,28.1603077557,2.26919426461,0.0,0.0,3.71167865564,18.077,53.6579745999,22.9564768325,25.50935,5.19214776745
 01/03  21:00:00,23.1536811451,2.26919426461,0.0,0.0,3.71167865564,13.077,51.6829881032,23.9845052535,22.50825,5.19023284961
 01/03  22:00:00,23.1151145806,2.26919426461,0.0,0.0,3.71167865564,13.077,50.064246766,24.441070232,21.0077,4.61547653392
 01/03  23:00:00,23.1125522165,2.26919426461,0.0,0.0,3.71167865564,13.077,48.4678587139,25.8483894013,18.0066,4.61286931254
 01/03  24:00:00,24.3134276371,2.26919426461,0.0,0.0,3.71167865564,13.077,32.9314824982,27.6183271861,3.0011,2.3120553122
