Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,148.582843624,31.0404506469,0.0,0.0,43.513341876,52.539744,135.159191355,130.304931355,4.83426,0.02
 01/01  02:00:00,149.421940785,31.9117278094,0.0,0.0,43.513341876,52.539744,118.595700244,113.741440244,4.83426,0.02
 01/01  03:00:00,151.134898028,33.5210697735,0.0,0.0,43.513341876,52.539744,170.099761068,165.245501068,4.83426,0.02
 01/01  04:00:00,140.557559093,23.0415351786,0.0,0.0,43.513341876,52.539744,117.719558827,112.865298827,4.83426,0.02
 01/01  05:00:00,147.273743235,29.2128513646,0.0,0.0,43.513341876,52.539744,183.802483943,170.354899355,4.83426,8.61332458788
 01/01  06:00:00,150.396661617,32.4661148489,0.0,0.0,43.513341876,52.539744,123.907491932,119.053231932,4.83426,0.02
 01/01  07:00:00,152.832688636,34.7567217589,0.0,0.0,43.513341876,52.539744,180.232091901,175.377831901,4.83426,0.02
 01/01  08:00:00,130.708185488,15.9006267922,0.0,0.0,43.513341876,52.539744,102.528309302,97.6740493025,4.83426,0.02
 01/01  09:00:00,116.628313138,16.6675727872,0.0,0.0,43.513341876,52.539744,147.909575377,143.055315377,4.83426,0.02
 01/01  10:00:00,111.609248797,11.7204472033,0.0,0.0,43.513341876,52.539744,111.119160157,97.6640272249,4.83426,8.62087293208
 01/01  11:00:00,117.087735627,17.1113443942,0.0,0.0,43.513341876,52.539744,158.384506696,153.530246696,4.83426,0.02
 01/01  12:00:00,117.987271842,17.1489010743,0.0,0.0,43.513341876,52.539744,117.035996504,112.181736504,4.83426,0.02
 01/01  13:00:00,118.036554938,18.0998659825,0.0,0.0,43.513341876,52.539744,171.658857133,158.203276097,4.83426,8.62132103625
 01/01  14:00:00,115.816214737,15.913249089,0.0,0.0,43.513341876,52.539744,110.733261194,105.879001194,4.83426,0.02
 01/01  15:00:00,118.118118745,18.0998659825,0.0,0.0,43.513341876,52.539744,157.065637364,152.211377364,4.83426,0.02
 01/01  16:00:00,115.816037361,15.913249089,0.0,0.0,43.513341876,52.539744,114.675130351,109.820870351,4.83426,0.02
 01/01  17:00:00,133.348605782,18.5941267766,0.0,0.0,43.513341876,52.539744,177.238931549,163.791300129,4.83426,8.61337142033
 01/01  18:00:00,133.552373967,15.913249089,0.0,0.0,43.513341876,52.539744,117.913059178,113.058799178,4.83426,0.02
 01/01  19:00:00,136.834072679,19.0883875708,0.0,0.0,43.513341876,52.539744,169.855342869,165.001082869,4.83426,0.02
 01/01  20:00:00,133.980611574,15.913249089,0.0,0.0,43.513341876,52.539744,117.543516572,112.689256572,4.83426,0.02
 01/01  21:00:00,136.413503461,18.3026192189,0.0,0.0,43.513341876,52.539744,148.415343628,143.561083628,4.83426,0.02
 01/01  22:00:00,151.596679203,33.7805122571,0.0,0.0,43.513341876,52.539744,124.498447271,111.050841174,4.83426,8.61334609692
 01/01  23:00:00,150.490262807,32.8879373111,0.0,0.0,43.513341876,52.539744,160.294135844,155.439875844,4.83426,0.02
 01/01  24:00:00,136.088288795,17.5921592919,0.0,0.0,43.513341876,52.539744,111.533399759,106.679139759,4.83426,0.02
 01/02  01:00:00,146.741221854,29.1432296103,0.0,0.0,43.513341876,52.539744,155.552873695,150.698613695,4.83426,0.02
 01/02  02:00:00,148.602189202,31.1002014745,0.0,0.0,43.513341876,52.539744,117.628189544,104.172576862,4.83426,8.62135268202
 01/02  03:00:00,135.644691245,18.0554888218,0.0,0.0,43.513341876,52.539744,149.534483795,144.680223795,4.83426,0.02
 01/02  04:00:00,148.421556175,30.9289464073,0.0,0.0,43.513341876,52.539744,102.900039401,98.0457794006,4.83426,0.02
 01/02  05:00:00,137.004192399,18.9996332494,0.0,0.0,43.513341876,52.539744,148.093474728,134.637843907,4.83426,8.62137082062
 01/02  06:00:00,137.551094242,19.647576051,0.0,0.0,43.513341876,52.539744,97.4575082868,92.6032482868,4.83426,0.02
 01/02  07:00:00,194.479100144,71.6895282673,0.0,0.0,43.513341876,53.238744,2101.50495594,2096.65069594,4.83426,0.02
 01/02  08:00:00,368.233994202,71.6895282673,0.0,0.0,220.879908,53.238744,1599.73835829,1568.4860356,4.83426,26.4180626842
 01/02  09:00:00,443.899419949,71.6895282673,0.00218014504876,0.0,220.879908,145.652643033,1227.04094234,1155.28222027,36.25695,35.5017720717
 01/02  10:00:00,443.854216769,71.6895282673,0.00188789010334,0.0,220.879908,145.652643033,1232.25507006,1151.08325286,36.25695,44.9148671969
 01/02  11:00:00,449.650546884,71.6895282673,0.00134921467356,0.0,220.879908,151.653867033,1133.61985768,1031.2926005,48.3426,53.9846571773
 01/02  12:00:00,450.393550109,71.6895282673,0.0,0.0,220.879908,151.653867033,999.359674351,896.810476809,48.3426,54.2065975418
 01/02  13:00:00,449.556579821,71.6895282673,0.0,0.0,220.879908,151.653867033,1023.94277898,921.205545262,48.3426,54.3946337171
 01/02  14:00:00,444.189767922,71.6895282673,0.0,0.0,220.879908,145.652643033,1125.65498121,1039.25359274,24.1713,62.2300884712
 01/02  15:00:00,444.693575953,71.6895282673,0.0,0.0,220.879908,145.652643033,1134.15808258,1063.68140313,24.1713,46.3053794491
 01/02  16:00:00,436.804300235,71.6895282673,0.0,0.0,220.879908,137.835547516,1055.06133079,1005.19914402,4.83426,45.0279267735
 01/02  17:00:00,446.698407625,71.6895282673,0.0,0.0,220.879908,133.019064,948.145681629,898.676571281,4.83426,44.6348503482
 01/02  18:00:00,369.921497997,71.6895282673,0.0,0.0,220.879908,53.238744,1070.91306002,1021.45314071,4.83426,44.6256593127
 01/02  19:00:00,369.923588151,71.6895282673,0.0,0.0,220.879908,53.238744,1091.54736236,1041.88854506,4.83426,44.8245573001
 01/02  20:00:00,370.314467203,71.6895282673,0.0,0.0,220.879908,53.238744,1059.5079023,1045.97251592,4.83426,8.70112637808
