Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.2621573502,5.76262434894,0.0,0.0,15.863942322,29.242365,212.499810152,209.274130152,3.20568,0.02
 01/01  02:00:00,60.3529809912,4.88761249874,0.0,0.0,15.863942322,29.242365,180.886984423,177.661304423,3.20568,0.02
 01/01  03:00:00,61.7536743784,6.10951562343,0.0,0.0,15.863942322,29.242365,261.841143859,255.752114662,3.20568,2.88334919687
 01/01  04:00:00,60.3949333686,4.88761249874,0.0,0.0,15.863942322,29.242365,188.239882441,185.014202441,3.20568,0.02
 01/01  05:00:00,62.0515201084,6.10951562343,0.0,0.0,15.863942322,29.242365,278.23302531,272.144002966,3.20568,2.88334234405
 01/01  06:00:00,60.6487224348,4.88761249874,0.0,0.0,15.863942322,29.242365,198.464764955,195.239084955,3.20568,0.02
 01/01  07:00:00,62.1208876134,6.10951562343,0.0,0.0,15.863942322,29.242365,288.905775702,282.816759215,3.20568,2.88333648698
 01/01  08:00:00,56.2217430106,4.88761249874,0.0,0.0,15.863942322,29.242365,171.283121929,168.057441929,3.20568,0.02
 01/01  09:00:00,53.002150393,5.88022501562,0.0,0.0,15.863942322,29.242365,214.033206307,207.94244086,3.20568,2.88508544677
 01/01  10:00:00,51.3530413095,4.38601111149,0.0,0.0,15.863942322,29.242365,124.694830824,118.603868854,3.20568,2.8852819702
 01/01  11:00:00,52.8624819126,5.83720484399,0.0,0.0,15.863942322,29.242365,156.900702483,153.675022483,3.20568,0.02
 01/01  12:00:00,52.37716508,4.72994702321,0.0,0.0,15.863942322,29.242365,104.899860692,98.8089231607,3.20568,2.88525753109
 01/01  13:00:00,52.1238159567,5.22924654133,0.0,0.0,15.863942322,29.242365,122.128666102,116.037753018,3.20568,2.88523308458
 01/01  14:00:00,51.1081625294,4.21393042498,0.0,0.0,15.863942322,29.242365,76.0047808184,72.7791008184,3.20568,0.02
 01/01  15:00:00,52.1536818487,5.21363781669,0.0,0.0,15.863942322,29.242365,89.1354907583,83.0464568742,3.20568,2.88335388412
 01/01  16:00:00,51.361004859,4.42903128312,0.0,0.0,15.863942322,29.242365,69.0826307986,65.8569507986,3.20568,0.02
 01/01  17:00:00,57.9184382145,5.32118824576,0.0,0.0,15.863942322,29.242365,109.166951922,103.077924351,3.20568,2.88334757082
 01/01  18:00:00,60.1724943334,4.75003813406,0.0,0.0,15.863942322,29.242365,98.1610932846,94.9354132846,3.20568,0.02
 01/01  19:00:00,61.3408386853,5.88022501562,0.0,0.0,15.863942322,29.242365,148.50411144,142.415089379,3.20568,2.8833420607
 01/01  20:00:00,60.430550764,4.8188253164,0.0,0.0,15.863942322,29.242365,120.147987437,116.922307437,3.20568,0.02
 01/01  21:00:00,61.7545014048,6.08658656265,0.0,0.0,15.863942322,29.242365,181.63644729,175.547431408,3.20568,2.88333588232
 01/01  22:00:00,60.4423088426,4.88761249874,0.0,0.0,15.863942322,29.242365,164.949589101,161.723909101,3.20568,0.02
 01/01  23:00:00,61.6433803857,6.10951562343,0.0,0.0,15.863942322,29.242365,235.079853149,228.99084425,3.20568,2.88332889975
 01/01  24:00:00,61.0708055971,4.88761249874,0.0,0.0,15.863942322,29.242365,164.416827586,161.191147586,3.20568,0.02
 01/02  01:00:00,61.6864882339,6.10951562343,0.0,0.0,15.863942322,29.242365,237.474029291,231.383071957,3.20568,2.88527733413
 01/02  02:00:00,60.340434125,4.88761249874,0.0,0.0,15.863942322,29.242365,168.145557178,164.919877178,3.20568,0.02
 01/02  03:00:00,61.7278504346,6.10951562343,0.0,0.0,15.863942322,29.242365,243.344490882,237.253553363,3.20568,2.88525751901
 01/02  04:00:00,60.3720194131,4.88761249874,0.0,0.0,15.863942322,29.242365,180.275562583,174.185044508,3.20568,2.88483807526
 01/02  05:00:00,61.9961078057,6.10951562343,0.0,0.0,15.863942322,29.242365,259.270532324,253.179692089,3.20568,2.88516023508
 01/02  06:00:00,60.6095047328,4.88761249874,0.0,0.0,15.863942322,29.242365,188.335085315,185.109405315,3.20568,0.02
 01/02  07:00:00,66.7510172537,7.33141874812,0.0,0.0,15.863942322,29.818365,878.881625611,872.790776906,3.20568,2.88516870447
 01/02  08:00:00,127.226606372,7.33141874812,0.0,0.0,80.527626,29.818365,736.225095622,730.129488688,3.20568,2.88992693392
 01/02  09:00:00,167.21344671,7.33141874812,0.0,0.0,80.527626,75.0917375,642.186540963,603.659557249,24.0426,14.4843837141
 01/02  10:00:00,166.663688779,7.33141874812,0.0,0.0,80.527626,75.0917375,551.6142123,507.124893832,24.0426,20.4467184677
