Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.593318452,4.07447010598,0.0,0.0,4.58992532963,8.1892,71.2542368297,60.9868912084,3.33988,6.92746562135
 01/01  02:00:00,14.7693604843,0.0,0.0,0.0,1.52997510988,7.4902,3.93196352897,0.0,3.33988,0.592083528966
 01/01  03:00:00,14.7949233244,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.8088942284,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9561662536,0.0,0.0,0.0,1.52997510988,7.4902,3.93194358044,0.0,3.33988,0.592063580444
 01/01  06:00:00,22.7864768769,4.07447010598,0.0,0.0,4.58992532963,8.1892,60.5598495241,52.1901495241,8.3497,0.02
 01/01  07:00:00,38.7550801177,4.07447010598,0.0199117727182,0.0,9.17985065927,19.4245,69.0161846688,47.702950385,16.6994,4.61383428384
 01/01  08:00:00,45.1581155429,4.07447010598,0.0166254528984,0.0,9.17985065927,26.9147,67.0761453681,37.4140297771,25.0491,4.61301559101
 01/01  09:00:00,41.9778969254,4.07447010598,0.00441824104101,0.0,9.17985065927,26.9147,75.205920256,37.1950576521,33.3988,4.61206260387
 01/01  10:00:00,34.4780867588,4.07447010598,0.0,0.0,9.17985065927,19.4245,74.9990885175,45.9104725565,25.0491,4.03951596105
 01/01  11:00:00,41.9753209495,4.07447010598,0.0198841039205,0.0,9.17985065927,26.9147,104.137037691,47.8812967631,41.7485,14.5072409276
 01/01  12:00:00,42.6880458414,4.07447010598,0.0,0.0,9.17985065927,26.9147,106.997221705,51.3194180181,41.7485,13.929303687
 01/01  13:00:00,41.977571261,4.07447010598,0.0,0.0,9.17985065927,26.9147,102.567617929,49.2366126862,41.7485,11.5825052425
 01/01  14:00:00,34.4475318949,4.07447010598,0.0,0.0,9.17985065927,19.4245,98.2305435581,53.2519340689,33.3988,11.5798094893
 01/01  15:00:00,34.4337406419,4.07447010598,0.0,0.0,9.17985065927,19.4245,95.8434491232,62.1276334989,25.0491,8.66671562433
 01/01  16:00:00,34.4115377935,4.07447010598,0.0,0.0,9.17985065927,19.4245,109.593101337,67.5277052965,33.3988,8.66659604019
 01/01  17:00:00,41.8362629548,4.07447010598,0.00925515619676,0.0,9.17985065927,26.9147,126.364209565,67.5995315226,50.0982,8.66647804235
 01/01  18:00:00,46.0712380396,4.07447010598,0.0,0.0,9.17985065927,26.9147,128.171309147,66.4930387805,50.0982,11.5800703661
 01/01  19:00:00,46.0758955972,4.07447010598,0.0,0.0,9.17985065927,26.9147,126.219069722,62.1935115579,50.0982,13.9273581644
 01/01  20:00:00,38.7172284435,4.07447010598,0.0,0.0,9.17985065927,19.4245,109.413867923,61.5046816752,33.3988,14.5103862482
 01/01  21:00:00,38.6988290039,4.07447010598,0.0,0.0,9.17985065927,19.4245,106.913521046,61.9383687948,33.3988,11.5763522507
 01/01  22:00:00,38.6269935987,4.07447010598,0.0,0.0,9.17985065927,19.4245,109.327501462,70.3527825495,25.0491,13.9256189123
 01/01  23:00:00,38.5150092722,4.07447010598,0.0,0.0,9.17985065927,19.4245,102.195801369,73.9168732791,16.6994,11.5795280897
 01/01  24:00:00,39.3225745482,4.07447010598,0.0,0.0,9.17985065927,19.4245,89.637427431,75.5176386639,8.3497,5.7700887671
 01/02  01:00:00,22.5613538784,4.07447010598,0.0,0.0,4.58992532963,8.1892,93.2175005044,84.109349345,3.33988,5.7682711594
 01/02  02:00:00,14.6510238082,0.0,0.0,0.0,1.52997510988,7.4902,3.93196466285,0.0,3.33988,0.59208466285
 01/02  03:00:00,14.6739686956,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6859829367,0.0,0.0,0.0,1.52997510988,7.4902,3.93194471153,0.0,3.33988,0.592064711531
