Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,817.050131125,97.1591143261,406.216562227,0.0,34.9616554283,113.312780494,653.442009485,639.044702047,5.66466996096,8.73263747718
 01/01  02:00:00,908.649355602,97.1591143261,527.170575105,0.0,34.9616554283,113.312780494,661.500197906,638.391508112,5.66466996096,17.4440198335
 01/01  03:00:00,922.079846475,97.1591143261,543.600301942,0.0,34.9616554283,113.312780494,665.311018638,642.204113791,5.66466996096,17.4422348865
 01/01  04:00:00,926.811361595,97.1591143261,552.736168735,0.0,34.9616554283,113.312780494,667.459510828,644.35114291,5.66466996096,17.4436979571
 01/01  05:00:00,940.307173591,97.1591143261,556.326839394,0.0,44.4937663224,113.312780494,659.193453267,636.08382235,5.66466996096,17.4449609564
 01/01  06:00:00,939.567030679,97.1591143261,555.681147427,0.0,44.4937663224,113.312780494,668.181211628,636.576501775,14.1616749024,17.4430349504
 01/01  07:00:00,1011.4310347,97.1591143261,554.488158209,0.0,54.0258772165,176.889270242,612.647350914,566.882828199,28.3233498048,17.44117291
 01/01  08:00:00,1015.19452967,97.1591143261,552.27119376,0.0,54.0258772165,184.38654557,609.429244323,558.211050585,42.4850247072,8.73316903048
 01/01  09:00:00,1085.18890873,97.1591143261,547.466730371,0.0,65.1572554096,220.04316451,613.502031541,530.56734786,56.6466996096,26.2879840711
 01/01  10:00:00,1083.4144263,97.1591143261,541.868153691,0.0,65.1572554096,212.545889182,592.213553213,523.307012236,42.4850247072,26.4215162696
 01/01  11:00:00,1096.54372396,97.1591143261,533.557553626,0.0,65.1572554096,220.04316451,621.842441838,515.639443206,70.808374512,35.3946241201
 01/01  12:00:00,1088.4481162,97.1591143261,510.491841463,0.0,65.1572554096,220.04316451,609.799995339,512.428119901,70.808374512,26.5635009258
 01/01  13:00:00,1050.39603508,97.1591143261,466.059955127,0.0,65.1572554096,220.04316451,614.068435402,507.858198666,70.808374512,35.4018622235
 01/01  14:00:00,1015.63979166,97.1591143261,432.487467015,0.0,65.1572554096,212.545889182,589.154663726,505.957721787,56.6466996096,26.5502423297
 01/01  15:00:00,964.713076564,97.1591143261,379.310542105,0.0,65.1572554096,212.545889182,585.063073141,507.168236708,42.4850247072,35.409811726
 01/01  16:00:00,921.249537001,97.1591143261,337.861842891,0.0,65.1572554096,212.545889182,603.330999849,511.28487071,56.6466996096,35.3994295294
 01/01  17:00:00,875.094848725,97.1591143261,315.373257774,0.0,65.1572554096,220.04316451,635.224215251,523.699292114,84.9700494144,26.5548737235
 01/01  18:00:00,832.266172715,97.1591143261,303.929614955,0.0,54.0258772165,184.38654557,662.348814503,550.957708797,84.9700494144,26.4210562924
 01/01  19:00:00,804.824831475,97.1591143261,301.538095132,0.0,44.4937663224,163.454314868,691.533514356,589.118441285,84.9700494144,17.4450236569
 01/01  20:00:00,797.532757878,97.1591143261,300.802756095,0.0,44.4937663224,155.95703954,669.339957278,595.250150956,56.6466996096,17.4431067128
 01/01  21:00:00,756.151457648,97.1591143261,292.360459475,0.0,44.4937663224,124.558693486,715.075720663,640.987774185,56.6466996096,17.4412468682
 01/01  22:00:00,748.926076244,97.1591143261,284.238340789,0.0,44.4937663224,124.558693486,709.764438825,649.833521082,42.4850247072,17.445893036
 01/01  23:00:00,740.735114483,97.1591143261,282.820051027,0.0,34.9616554283,124.558693486,710.618511744,664.851272012,28.3233498048,17.4438899267
 01/01  24:00:00,734.0820657,97.1591143261,275.826329172,0.0,34.9616554283,124.558693486,707.605595491,676.001912412,14.1616749024,17.4420081764
 01/02  01:00:00,724.658835737,97.1591143261,268.672936533,0.0,46.0930336215,113.312780494,699.438323047,685.043218487,5.66466996096,8.73043459919
 01/02  02:00:00,714.990239332,97.1591143261,259.523187841,0.0,46.0930336215,113.312780494,721.639764789,698.528940954,5.66466996096,17.4461538739
 01/02  03:00:00,700.031521187,97.1591143261,245.59209958,0.0,46.0930336215,113.312780494,740.274380208,717.165462027,5.66466996096,17.4442482201
 01/02  04:00:00,681.27870142,97.1591143261,228.246636089,0.0,46.0930336215,113.312780494,773.967109697,750.860019026,5.66466996096,17.4424207101
 01/02  05:00:00,758.801770532,97.1591143261,218.516349926,0.0,100.150657288,148.969399434,748.226768977,725.116434056,5.66466996096,17.4456649594
 01/02  06:00:00,780.787341439,97.1591143261,235.530396656,0.0,100.150657288,149.894399434,1304.64101796,1273.03411487,14.1616749024,17.4452281925
 01/02  07:00:00,981.431951488,97.1591143261,209.346876543,0.0,176.471037341,302.612436532,895.009949222,849.243264358,28.3233498048,17.4433350593
 01/02  08:00:00,1094.22576135,97.1591143261,203.637475567,0.0,243.2593065,310.10971186,828.455567868,759.527511335,42.4850247072,26.4430318252
 01/02  09:00:00,1145.08123866,97.1591143261,225.897535561,0.0,243.2593065,310.10971186,777.632014773,685.539737053,56.6466996096,35.4455781099
 01/02  10:00:00,1223.55804307,97.1591143261,272.61953499,0.0,243.2593065,302.612436532,697.603694204,619.513788496,42.4850247072,35.604881001
 01/02  11:00:00,1325.98769535,97.1591143261,363.930826479,0.0,243.2593065,310.10971186,691.567202456,575.937000066,70.808374512,44.8218278776
 01/02  12:00:00,1455.9204784,97.1591143261,481.104421885,0.0,243.2593065,310.10971186,658.405655251,542.677933776,70.808374512,44.9193469633
 01/02  13:00:00,1449.86704773,97.2069550756,502.241101789,0.0,243.2593065,310.10971186,625.804301488,510.354595679,70.808374512,44.6413312969
 01/02  14:00:00,1508.41487349,97.3241014341,512.39202509,0.0,243.2593065,302.612436532,590.334431196,488.771185792,56.6466996096,44.9165457948
 01/02  15:00:00,1512.14602441,97.431901604,516.709601094,0.0,243.2593065,302.612436532,564.186806583,476.880765062,42.4850247072,44.8210168138
 01/02  16:00:00,1512.9769954,97.5275112284,518.542405781,0.0,243.2593065,302.612436532,573.733485669,472.368976221,56.6466996096,44.7178098381
 01/02  17:00:00,1518.71076255,97.6118870623,516.717717546,0.0,243.2593065,310.10971186,584.268490949,463.744156863,84.9700494144,35.5542846712
 01/02  18:00:00,1532.64397635,97.6951178041,512.592882877,0.0,243.2593065,310.10971186,578.262606261,466.944334995,84.9700494144,26.3482218522
 01/02  19:00:00,1264.77582247,97.1591143261,507.519702743,0.0,166.938926447,199.110933808,524.516543861,422.046501824,84.9700494144,17.4999926228
 01/02  20:00:00,1253.2244622,97.1591143261,504.004580696,0.0,166.938926447,191.61365848,501.245781473,427.099792705,56.6466996096,17.4992891585
 01/02  21:00:00,1113.57740172,97.1591143261,501.614207096,0.0,100.150657288,124.558693486,551.727631196,468.838959958,56.6466996096,26.2419716289
 01/02  22:00:00,1074.88633974,97.1591143261,503.478841445,0.0,100.150657288,124.558693486,528.092733325,471.951046026,42.4850247072,13.656662592
 01/02  23:00:00,1009.91220896,97.1591143261,506.057029699,0.0,46.0930336215,124.558693486,529.46184739,488.616601087,28.3233498048,12.5218964986
 01/02  24:00:00,1001.05759277,97.1591143261,508.371081361,0.0,46.0930336215,124.558693486,525.938731494,494.332414846,14.1616749024,17.4446417459
 01/03  01:00:00,963.712972313,97.1591143261,509.812083651,0.0,46.0930336215,113.312780494,525.368546002,502.25904987,5.66466996096,17.4448261704
 01/03  02:00:00,946.064248744,97.1591143261,510.983714405,0.0,46.0930336215,113.312780494,531.56884653,508.463298809,5.66466996096,17.4408777605
 01/03  03:00:00,935.549599021,97.1591143261,515.703747533,0.0,46.0930336215,113.312780494,535.789287908,512.678479632,5.66466996096,17.4461383157
 01/03  04:00:00,935.307917574,97.1591143261,522.32131179,0.0,46.0930336215,113.312780494,540.197808128,517.088846946,5.66466996096,17.4442912213
 01/03  05:00:00,1025.57151341,97.1591143261,528.915132649,0.0,100.150657288,148.969399434,517.489200107,494.382002989,5.66466996096,17.4425271565
 01/03  06:00:00,1027.80985477,97.1591143261,533.258051883,0.0,100.150657288,149.894399434,904.660256969,881.767971038,14.1616749024,8.73061102882
 01/03  07:00:00,1253.81021175,97.3696542441,536.829666013,0.0,176.471037341,302.612436532,630.438786651,584.668943773,28.3233498048,17.4464930731
 01/03  08:00:00,1375.85769938,97.6708941574,541.367114322,0.0,243.2593065,310.10971186,603.356915058,534.430605594,42.4850247072,26.4412847572
 01/03  09:00:00,1406.81104466,97.797426879,542.359062063,0.0,243.2593065,310.10971186,607.55120812,515.438032368,56.6466996096,35.4664761423
 01/03  10:00:00,1437.60020337,97.8942793367,543.732670509,0.0,243.2593065,302.612436532,590.874118137,503.861848277,42.4850247072,44.5272451524
 01/03  11:00:00,1446.81965237,97.9775868216,549.575552047,0.0,243.2593065,310.10971186,599.438539679,483.809152355,70.808374512,44.8210128128
 01/03  12:00:00,1453.53929154,98.0722851289,555.121583722,0.0,243.2593065,310.10971186,586.69566972,470.967268325,70.808374512,44.920026883
 01/03  13:00:00,1419.04083651,98.2843696685,562.00981522,0.0,243.2593065,310.10971186,570.076351472,454.618296235,70.808374512,44.6496807248
 01/03  14:00:00,1462.57703817,98.6125329326,571.55519627,0.0,243.2593065,302.612436532,544.763559324,443.199429192,56.6466996096,44.9174305224
 01/03  15:00:00,1470.42915397,98.9608720042,578.588742745,0.0,243.2593065,302.612436532,522.353873943,435.046782666,42.4850247072,44.8220665705
 01/03  16:00:00,1472.16659017,99.286741239,579.950441904,0.0,243.2593065,302.612436532,529.121206362,427.752732433,56.6466996096,44.7217743196
 01/03  17:00:00,1477.00236556,99.6360784435,577.846606695,0.0,243.2593065,310.10971186,544.314522494,423.797420632,84.9700494144,35.5470524474
 01/03  18:00:00,1491.4063453,100.016596583,576.491635456,0.0,243.2593065,310.10971186,534.549333735,423.235763648,84.9700494144,26.3435206718
 01/03  19:00:00,1221.79671966,97.1591143261,575.760808589,0.0,166.938926447,199.110933808,504.975149217,402.504952902,84.9700494144,17.5001469005
 01/03  20:00:00,1213.6114063,97.1591143261,575.258814189,0.0,166.938926447,191.61365848,480.795878866,406.645237392,56.6466996096,17.5039418649
 01/03  21:00:00,1079.02592579,97.1591143261,574.673910871,0.0,100.150657288,124.558693486,521.349729369,447.201538266,56.6466996096,17.5014914927
 01/03  22:00:00,1037.76941929,97.1591143261,573.066699126,0.0,100.150657288,124.558693486,513.196574078,453.260436832,42.4850247072,17.4511125381
 01/03  23:00:00,968.226541739,97.1591143261,570.889421179,0.0,46.0930336215,124.558693486,518.29484713,472.528387242,28.3233498048,17.4431100834
 01/03  24:00:00,969.562022512,97.1591143261,571.178290541,0.0,46.0930336215,124.558693486,507.919025812,476.31368566,14.1616749024,17.44366525
