Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,91.6362504053,21.9407526584,10.9835665432,0.0,4.12243109448,15.9888894789,96.1047556222,93.1130252044,2.97173041782,0.02
 01/02  02:00:00,87.788779991,19.4609465296,10.3645984186,1.88054204984,4.12243109448,15.9888894789,83.2462584015,80.2545279837,2.97173041782,0.02
 01/02  03:00:00,108.579473637,25.1183852646,14.7834854459,6.54191758662,4.12243109448,15.9888894789,104.937643633,101.945913215,2.97173041782,0.02
 01/02  04:00:00,94.3782065131,20.0947082117,10.9194159462,7.20734422054,4.12243109448,15.9888894789,85.671707913,82.6799774952,2.97173041782,0.02
 01/02  05:00:00,136.222679876,29.6893754018,14.2904044462,8.43651346409,12.3672932834,24.9413748627,121.866048488,116.893164458,4.9528840297,0.02
 01/02  06:00:00,162.990058943,29.2744512585,17.2701166791,32.3218106963,12.3672932834,24.9413748627,190.975866755,186.002982726,4.9528840297,0.02
 01/02  07:00:00,214.564338857,30.2387197642,10.31976624,32.4563203519,24.7345865669,70.7195625826,179.074361998,169.148593939,9.90576805939,0.02
 01/02  08:00:00,233.784008985,30.3224852038,10.4105811025,24.9936503372,37.1018798503,92.3937384068,160.084950594,150.159182534,9.90576805939,0.02
 01/02  09:00:00,230.764745759,30.3573395274,11.6801072064,21.2175675564,37.1018798503,104.434947198,148.509936379,138.58416832,9.90576805939,0.02
 01/02  10:00:00,236.712880616,30.4379102269,13.4211181966,16.1240002608,37.1018798503,116.476155989,143.434624106,124.898172787,9.90576805939,8.63068325986
 01/02  11:00:00,233.035669438,30.5370038733,16.1551980635,12.3332867864,37.1018798503,116.476155989,120.457566217,110.531798158,9.90576805939,0.02
 01/02  12:00:00,237.46837508,30.6782136866,22.3779477875,10.2235789096,37.1018798503,116.476155989,122.120012004,103.576610149,9.90576805939,8.63763379599
 01/02  13:00:00,236.445175855,30.9183236821,28.8605087774,8.21358235424,37.1018798503,104.434947198,108.693720954,98.7679528942,9.90576805939,0.02
 01/02  14:00:00,254.795390945,31.1725878938,32.2412499298,6.66280211138,37.1018798503,116.476155989,113.334865838,94.7913293161,9.90576805939,8.63776846269
 01/02  15:00:00,254.287254704,31.090886169,32.5071771096,5.60935085757,37.1018798503,116.476155989,104.490294756,94.5645266971,9.90576805939,0.02
 01/02  16:00:00,251.90147016,30.9303747181,31.4678440073,4.9895936771,37.1018798503,116.476155989,114.417824065,95.8779512018,9.90576805939,8.63410480406
 01/02  17:00:00,251.016257142,30.8149652128,30.1806174701,4.85017880031,37.1018798503,116.476155989,106.880580147,96.954812088,9.90576805939,0.02
 01/02  18:00:00,264.141952851,30.7441281585,28.6293667426,5.24349682444,37.1018798503,116.476155989,116.678063553,98.1529442892,9.90576805939,8.61935120476
 01/02  19:00:00,177.850460348,28.7840015703,24.9887120151,0.0,24.7345865669,47.5788473902,81.1444930646,76.1716090349,4.9528840297,0.02
 01/02  20:00:00,178.934261993,29.236688486,25.5971774056,0.0,24.7345865669,47.5788473902,86.9326822812,81.9597982515,4.9528840297,0.02
 01/02  21:00:00,150.862398867,27.8786277388,20.1502344665,0.0342147429711,12.3672932834,38.6892022431,100.231207008,97.2394765901,2.97173041782,0.02
 01/02  22:00:00,123.874740025,22.0828241011,19.0539401975,0.17305617841,12.3672932834,27.0668015668,83.9469242288,80.955193811,2.97173041782,0.02
 01/02  23:00:00,91.1427446068,18.2839605487,13.240202385,0.0,4.12243109448,15.9888894789,76.7105989338,73.7188685159,2.97173041782,0.02
 01/02  24:00:00,107.572598346,23.9866679752,20.059055433,0.588325318186,4.12243109448,15.9888894789,98.5331253296,95.5413949118,2.97173041782,0.02
