Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.7903019457,1.09385119744,2.30185568709,0.0,15.863942322,29.242365,4.85878590631,1.63310590631,3.20568,0.02
 01/01  02:00:00,55.4262042547,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4275133553,0.0,0.0,0.0,15.863942322,29.242365,6.08861983214,0.0,3.20568,2.88293983214
 01/01  04:00:00,55.4310170969,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6429017967,0.0,0.0,0.0,15.863942322,29.242365,6.08854770693,0.0,3.20568,2.88286770693
 01/01  06:00:00,55.6276763261,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.6434688994,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,52.7194846718,0.0,0.0,0.0,15.863942322,29.242365,6.0886358187,0.0,3.20568,2.8829558187
 01/01  09:00:00,47.0026704686,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0145056044,0.0,0.0,0.0,15.863942322,29.242365,6.09027271435,0.0,3.20568,2.88459271435
 01/01  11:00:00,46.9963202964,0.0,0.0,0.0,15.863942322,29.242365,6.09015106605,0.0,3.20568,2.88447106605
 01/01  12:00:00,47.6827683258,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9550810234,0.0,0.0,0.0,15.863942322,29.242365,6.09027359081,0.0,3.20568,2.88459359081
 01/01  14:00:00,46.9875517852,0.0,0.0,0.0,15.863942322,29.242365,6.09015195039,0.0,3.20568,2.88447195039
 01/01  15:00:00,46.9891943033,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9690427571,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,46.8647752409,0.0,0.0,0.0,15.863942322,29.242365,6.08855890768,0.0,3.20568,2.88287890768
 01/01  18:00:00,54.0058991845,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.4324706192,0.0,0.0,0.0,15.863942322,29.242365,6.08864701803,0.0,3.20568,2.88296701803
 01/01  20:00:00,55.6439476478,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6272620897,0.0,0.0,0.0,15.863942322,29.242365,6.08857490203,0.0,3.20568,2.88289490203
 01/01  22:00:00,59.2302392263,1.09385119744,2.62095229544,0.0,15.863942322,29.242365,4.993017132,1.767337132,3.20568,0.02
 01/01  23:00:00,60.1065086653,1.45846826325,3.28762974662,0.0,15.863942322,29.242365,5.97046107521,2.74478107521,3.20568,0.02
 01/01  24:00:00,61.8189821601,1.82308532906,3.89482107458,0.0,15.863942322,29.242365,9.91306360896,3.82440001239,3.20568,2.88298359657
 01/02  01:00:00,59.8448554591,1.45846826325,3.02765946072,0.0,15.863942322,29.242365,7.64007222721,4.41439222721,3.20568,0.02
