Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,203.023694582,9.2815109534,75.0106415003,0.0,43.513341876,52.539744,95.5243005171,90.6700405171,4.83426,0.02
 01/01  02:00:00,188.80590883,4.27540511583,65.9440544588,0.0,43.513341876,52.539744,60.8414158675,55.9871558675,4.83426,0.02
 01/01  03:00:00,208.656003219,5.34425639479,84.4531355567,0.0,43.513341876,52.539744,74.314078624,69.459818624,4.83426,0.02
 01/01  04:00:00,191.788798856,4.27540511583,68.9142358054,0.0,43.513341876,52.539744,54.3471239257,49.4928639257,4.83426,0.02
 01/01  05:00:00,210.793490587,5.34425639479,86.1632372366,0.0,43.513341876,52.539744,66.2570341419,61.4027741419,4.83426,0.02
 01/01  06:00:00,192.118557302,4.27540511583,68.8592985331,0.0,43.513341876,52.539744,59.2893814747,45.8423625533,4.83426,8.61275892139
 01/01  07:00:00,226.090592872,5.34425639479,101.09420133,0.0,43.513341876,52.539744,61.9734893922,57.1192293922,4.83426,0.02
 01/01  08:00:00,190.749890223,4.27540511583,73.2342563621,0.0,43.513341876,52.539744,42.7030619553,37.8488019553,4.83426,0.02
 01/01  09:00:00,191.257939121,5.16106897309,84.5491367532,0.0,43.513341876,52.539744,48.602678677,43.748418677,4.83426,0.02
 01/01  10:00:00,172.38036716,4.09221769413,67.0700609811,0.0,43.513341876,52.539744,43.0453836944,29.5908025826,4.83426,8.62032111179
 01/01  11:00:00,156.623723367,3.20655383687,52.5164699861,0.0,43.513341876,52.539744,25.2494798041,20.3952198041,4.83426,0.02
 01/01  12:00:00,172.765802882,4.09221769413,66.6121270829,0.0,43.513341876,52.539744,28.1800448939,23.3257848939,4.83426,0.02
 01/01  13:00:00,163.883572098,3.67101478033,59.2681939138,0.0,43.513341876,52.539744,30.8698829336,17.4152899965,4.83426,8.62033293713
 01/01  14:00:00,157.506286831,3.20655383687,53.3916296505,0.0,43.513341876,52.539744,18.7600166748,13.9057566748,4.83426,0.02
 01/01  15:00:00,162.476375513,3.90903027244,57.5753498173,0.0,43.513341876,52.539744,23.3859205349,18.5316605349,4.83426,0.02
 01/01  16:00:00,153.023910892,3.57292868026,48.789764806,0.0,43.513341876,52.539744,23.2936145446,18.4393545446,4.83426,0.02
 01/01  17:00:00,178.369336177,4.97788155139,72.5958205067,0.0,43.513341876,52.539744,38.2846992494,33.4304392494,4.83426,0.02
 01/01  18:00:00,181.601825498,4.15328016803,61.9253012937,0.0,43.513341876,52.539744,47.5364212996,34.0908782273,4.83426,8.61128307223
 01/01  19:00:00,202.381893027,5.34425639479,78.2512208345,0.0,43.513341876,52.539744,56.8355210217,51.9812610217,4.83426,0.02
 01/01  20:00:00,185.949034791,4.27540511583,62.7169882785,0.0,43.513341876,52.539744,52.8870452855,48.0327852855,4.83426,0.02
 01/01  21:00:00,201.861002636,5.34425639479,77.3319007562,0.0,43.513341876,52.539744,73.2506829299,68.3964229299,4.83426,0.02
 01/01  22:00:00,185.209975724,5.29635623982,61.198797208,0.0,43.513341876,52.539744,86.0641880062,81.2099280062,4.83426,0.02
 01/01  23:00:00,202.565502328,8.74742680809,75.1599517292,0.0,43.513341876,52.539744,113.833649091,100.386582717,4.83426,8.61280637416
 01/01  24:00:00,194.253643147,14.7076280592,60.1524331812,0.0,43.513341876,52.539744,94.0666740726,89.2124140726,4.83426,0.02
 01/02  01:00:00,202.497222424,9.76837793209,74.0661802229,0.0,43.513341876,52.539744,117.225420674,112.371160674,4.83426,0.02
 01/02  02:00:00,195.746997474,18.1553408132,59.1845179534,0.0,43.513341876,52.539744,107.097360167,102.243100167,4.83426,0.02
 01/02  03:00:00,209.920268042,18.9163045865,72.3401653581,0.0,43.513341876,52.539744,142.060746428,128.607780052,4.83426,8.61870637655
 01/02  04:00:00,190.68733959,15.0034027598,57.2739972315,0.0,43.513341876,52.539744,124.993820565,120.139560565,4.83426,0.02
 01/02  05:00:00,221.428971142,32.1337705779,70.1888154621,0.0,43.513341876,52.539744,162.464291146,157.610031146,4.83426,0.02
 01/02  06:00:00,210.046420701,35.1272690373,56.0858518935,0.0,43.513341876,52.539744,159.206336451,145.751666608,4.83426,8.62040984291
 01/02  07:00:00,196.582443674,73.7781825006,0.0,0.0,43.513341876,53.238744,2833.02787773,2828.17361773,4.83426,0.02
 01/02  08:00:00,367.475356486,73.7781825006,0.0,0.0,220.879908,53.238744,2222.08647442,2190.86877095,4.83426,26.3834434711
 01/02  09:00:00,446.916754142,73.7781825006,0.0,0.0,220.879908,145.652643033,1800.70259764,1737.8610623,36.25695,26.5845853446
 01/02  10:00:00,446.806449922,73.7781825006,0.00214425258433,0.0,220.879908,145.652643033,1581.77814765,1496.48472478,36.25695,49.0364728672
 01/02  11:00:00,452.748045107,73.7781825006,0.00140514503887,0.0,220.879908,151.653867033,1336.33160484,1238.36607209,48.3426,49.6229327467
