Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.6300081161,5.54592804598,0.873468536754,0.64418819015,12.925468867,10.100111941,23.6352004948,23.6152004948,0.0,0.02
 01/01  02:00:00,37.5650393009,5.54836391175,0.89875969868,0.552698329014,12.925468867,10.100111941,24.1962651161,18.4358634926,0.0,5.76040162353
 01/01  03:00:00,32.7660893613,5.51753775034,0.639875567426,0.662494398971,8.34152022915,10.0650221343,24.1216727689,18.3613769984,0.0,5.76029577048
 01/01  04:00:00,32.6770363018,5.50613589855,0.556424183385,0.668296792111,8.34152022915,10.0650221343,18.1096078185,18.0896078185,0.0,0.02
 01/01  05:00:00,34.1912905001,5.49428608087,0.471709448492,0.672405259554,8.34152022915,11.6705166398,24.6458035182,18.8788973761,0.0,5.7669061421
 01/01  06:00:00,38.2586817907,5.48403920821,0.404049957409,0.659301676286,8.80141237637,15.3678112995,24.3914944894,18.6179681247,0.0,5.77352636471
 01/01  07:00:00,58.7416032522,5.56100989632,1.08022836523,0.412284716197,18.5082010057,25.6353820695,29.3169730865,17.7650213733,0.0,11.5519517132
 01/01  08:00:00,74.5642317716,5.73133511969,2.53356474016,0.0400083313979,19.4926561212,41.1001056674,28.2952061767,16.6761468522,0.0,11.6190593245
 01/01  09:00:00,95.7326994685,5.96863785869,5.39806989045,0.000930273244181,26.3286599382,57.9988325916,53.546657458,12.045381006,0.0,41.501276452
 01/01  10:00:00,80.8846063206,5.77925540762,6.0141713986,0.0,26.2443270014,42.8153538416,59.5644409003,12.0682331028,18.025,29.4712077975
 01/01  11:00:00,55.1227782781,5.55198894478,4.26095959392,0.0935449834926,21.7447113004,23.4437158914,62.0407674778,14.6394492254,18.025,29.3763182524
 01/01  12:00:00,52.3900185266,5.52549942301,3.78057880876,0.269878146125,19.3449162599,23.4437158914,58.7071853126,17.2335342073,18.025,23.4486511052
 01/01  13:00:00,52.2507723309,5.51900295665,3.45502607819,0.320701885848,19.190480192,23.7425572507,60.0642490732,18.6502595108,18.025,23.3889895624
 01/01  14:00:00,52.1265045004,5.51026999872,3.28240636851,0.351663054342,19.260583323,23.698576057,58.8848122264,17.4758732826,18.025,23.3839389438
 01/01  15:00:00,51.9987624689,5.49846092616,3.0951748295,0.422963677951,19.260583323,23.698576057,54.7972220684,19.2211602175,18.025,17.5510618509
 01/01  16:00:00,51.6380567365,5.4883383858,2.96579938742,0.491708535858,19.260583323,23.4086260847,63.1431018873,21.7221496841,18.025,23.3959522033
 01/01  17:00:00,55.2335381873,5.47748452512,2.02344278044,0.589068269597,19.260583323,27.8781056672,46.5081925697,22.7165183916,18.025,5.76667417808
 01/01  18:00:00,70.2920379142,5.54971899297,0.992663243281,0.447541887159,18.1807569449,37.5792895564,29.5095540662,23.7361823945,0.0,5.77337167168
 01/01  19:00:00,85.0317280933,5.66424466016,1.99604241836,0.175652335888,32.6059821062,37.0465235296,37.4293851017,27.2131994218,0.0,10.2161856799
 01/01  20:00:00,85.9011428123,5.74856343878,2.61968141792,0.105833121771,36.8143715336,33.066984531,34.9143031484,27.7964228906,0.0,7.11788025774
 01/01  21:00:00,92.1161550709,5.85990345813,3.34401986586,0.125661777225,36.43363367,38.8072253906,41.1426674143,29.5777611788,0.0,11.5649062355
 01/01  22:00:00,89.747209688,5.86810454725,3.30640425294,0.142844354603,36.0963922311,36.7877557581,41.9561448755,30.3909517054,0.0,11.5651931701
 01/01  23:00:00,66.8884627502,5.67265632699,1.87338452427,0.232303923837,30.9507766546,20.6087787026,43.0278775477,31.4086223917,0.0,11.619255156
 01/01  24:00:00,43.7710393669,5.53941789388,0.762780095437,0.793652874107,17.4250845679,11.7056064465,44.6153168826,33.0622590437,0.0,11.5530578389
 01/02  01:00:00,36.3492055405,5.50960029315,0.434489295616,1.1579984659,11.6412384099,10.0650221343,33.9670482728,33.9470482728,0.0,0.02
 01/02  02:00:00,35.2526335127,5.51088721588,0.201851312836,1.85357510873,10.0992000411,10.047477231,41.0991380452,35.3386716636,0.0,5.76046638165
 01/02  03:00:00,34.9470745241,5.58142025406,0.116829518225,3.42205984038,8.25718729233,10.0299323277,43.0968910573,37.3363970125,0.0,5.76049404476
 01/02  04:00:00,36.3969663399,5.6502467248,0.0849273577502,4.8350297355,8.25718729233,10.0299323277,44.6532232751,39.8290395307,0.0,4.82418374448
 01/02  05:00:00,39.1329872429,5.7039802792,0.0620990469751,5.93343684159,8.25718729233,11.6354268332,42.1511016387,41.1949840432,0.0,0.956117595414
 01/02  06:00:00,47.2577967573,5.73007095206,0.0615062478188,6.45277442755,12.1011305571,15.3678112995,52.7593918908,41.2071138668,0.0,11.5522780241
 01/02  07:00:00,74.4416319012,5.68771875641,1.13523125543,3.07645069372,19.7275818095,37.2640762949,52.7443754556,41.1260548913,0.0,11.6183205642
 01/02  08:00:00,91.0261996304,5.78591735984,2.50640947951,1.4711113105,24.3117294858,51.2795993405,61.5561836053,38.2307955713,0.0,23.325388034
 01/02  09:00:00,74.4879293944,5.65449188327,1.1095220663,3.38874086135,23.6694662846,40.6342015617,58.11404762,28.6347198958,0.0,29.4793277241
 01/02  10:00:00,71.3958738241,5.67574991459,3.47631964231,2.91625533107,23.6694662846,35.6302164847,71.6071597463,24.2105524888,18.025,29.3716072574
 01/02  11:00:00,54.0352440796,5.66176546508,3.54813882416,3.09468823188,18.7433767983,22.9618409725,61.4441445931,19.9662554583,18.025,23.4528891348
 01/02  12:00:00,53.4008492663,5.65391500141,4.03080492773,1.9879053296,18.7433767983,22.9618409725,55.0847688635,13.6625369919,18.025,23.3972318716
 01/02  13:00:00,52.7077020035,5.64309088677,4.5284427761,0.764496666357,18.5889407304,23.1597249699,48.6507115882,7.23506969529,18.025,23.3906418929
 01/02  14:00:00,52.6749534653,5.64964360233,4.74798498037,0.259148774561,18.7433767983,23.2517909448,43.8931064306,2.48144944609,18.025,23.3866569845
 01/02  15:00:00,52.261636926,5.60145980083,4.49746849815,0.144532173971,18.7433767983,23.2517909448,37.7219993897,2.15458601034,18.025,17.5424133793
 01/02  16:00:00,51.6890070269,5.57449787138,4.31771417787,0.0685725995278,18.7433767983,22.9618409725,45.6429764315,4.21984092228,18.025,23.3981355093
 01/02  17:00:00,55.3252213011,5.57152507177,3.55041677219,0.023728172906,18.7433767983,27.431320555,29.000216412,5.20872565741,18.025,5.76649075462
 01/02  18:00:00,74.1295046429,5.67670511077,2.54881343808,0.0,17.6635504202,40.6971502883,17.1034549048,6.98033717943,0.0,10.1231177253
 01/02  19:00:00,81.3169539015,5.75847329309,3.14921500612,0.0,27.5259009287,37.3340067412,23.6329277022,10.60301741,0.0,13.0299102923
 01/02  20:00:00,84.1687912564,5.82954322546,3.60495505657,0.0,33.8341110165,33.3544677425,23.6229371448,12.0594164784,0.0,11.5635206664
 01/02  21:00:00,93.4516493034,5.98739886685,4.57579842721,0.0,36.5179666069,38.8247702939,19.327262407,13.5345452919,0.0,5.79271711511
 01/02  22:00:00,88.4223656894,6.0610783331,4.98743623336,0.0,32.965339924,36.8579353714,30.6227558014,13.2033411356,0.0,17.4194146658
