Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,77.0331507626,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,78.9124181171,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,80.9289818953,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557494721,0.0,1.75125,1.16432494721
 01/01  04:00:00,82.5493091984,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,90.2636410771,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,90.5352797801,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556066112,0.0,1.75125,1.16431066112
 01/01  07:00:00,132.446928632,27.8767927508,0.0,0.0,6.98738001645,14.1499734587,330.107157777,326.584657777,3.5025,0.02
 01/01  08:00:00,142.219187107,27.8767927508,0.0,0.0,6.98738001645,14.1499734587,300.629754553,297.107254553,3.5025,0.02
 01/01  09:00:00,165.635622716,27.8767927508,0.0,0.0,6.98738001645,14.1499734587,270.754514585,266.087607289,3.5025,1.1644072966
 01/01  10:00:00,139.219202697,27.8767927508,0.0,0.0,6.98738001645,14.1499734587,266.357904212,262.835404212,3.5025,0.02
 01/01  11:00:00,170.891610104,27.8767927508,0.0,0.0,27.9495200658,27.7759469175,251.361001487,243.191203015,7.005,1.16479847125
 01/01  12:00:00,198.926744731,27.8767927508,0.0,0.0,27.9495200658,27.7759469175,258.217396109,250.047586204,7.005,1.16480990465
 01/01  13:00:00,204.897486244,27.8767927508,0.0087189534701,0.0,41.9242800987,36.8599292233,246.914933337,236.409955021,9.34,1.16497831677
 01/01  14:00:00,201.328158439,27.8767927508,0.0,0.0,41.9242800987,36.8599292233,248.133521584,237.628650684,9.34,1.16487089969
 01/01  15:00:00,196.07103523,27.8767927508,0.0,0.0,41.9242800987,36.8599292233,254.497797195,245.137797195,9.34,0.02
 01/01  16:00:00,191.547026902,27.8767927508,0.0,0.0,41.9242800987,36.8599292233,260.825309285,250.320398072,9.34,1.16491121325
 01/01  17:00:00,190.377809806,27.8767927508,0.0,0.0,41.9242800987,36.8599292233,265.844415871,255.339583406,9.34,1.16483246429
 01/01  18:00:00,175.047380029,27.8767927508,0.0,0.0,27.9495200658,27.7759469175,309.798953098,301.62908356,7.005,1.16486953771
 01/01  19:00:00,181.313150213,27.8767927508,0.0,0.0,13.9747600329,18.6919646116,327.890538035,322.055895028,4.67,1.16464300684
 01/01  20:00:00,161.116703674,27.8767927508,0.0,0.0,13.9747600329,18.6919646116,332.171363244,327.481363244,4.67,0.02
 01/01  21:00:00,152.620418384,27.8767927508,0.0,0.0,13.9747600329,18.6919646116,341.339916178,335.505308043,4.67,1.16460813517
 01/01  22:00:00,138.264046183,27.8767927508,0.0,0.0,13.9747600329,18.6919646116,303.011081124,297.176589067,4.67,1.16449205652
 01/01  23:00:00,77.390583347,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,113.035344088,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,84.2333298214,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923838146,0.0,2.335,1.16423838146
 01/02  02:00:00,81.8199201197,4.04406838647,0.0,0.0,3.49369000822,9.08398230582,10.5343040111,8.17930401107,2.335,0.02
 01/02  03:00:00,90.0329956903,12.1322051594,0.0,0.0,3.49369000822,9.08398230582,26.1317602807,23.7767602807,2.335,0.02
