Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6112173018,2.26719171198,0.0,0.0,1.85583932782,5.577,63.259185422,57.9452621248,3.0011,2.31282329725
 01/01  02:00:00,9.46443560604,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.4810963481,0.0,0.0,0.0,0.618613109274,5.0,3.59319271451,0.0,3.0011,0.592092714512
 01/01  04:00:00,9.49136326551,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.63974506803,0.0,0.0,0.0,0.618613109274,5.0,3.59314685113,0.0,3.0011,0.592046851132
 01/01  06:00:00,13.7560680971,2.26719171198,0.0,0.0,1.85583932782,5.577,78.557489893,74.035839893,4.50165,0.02
 01/01  07:00:00,28.2346116129,2.26719171198,0.0,0.0,3.71167865564,18.077,84.0013323242,68.758135019,13.50495,1.73824730523
 01/01  08:00:00,27.5507551872,2.26719171198,0.0,0.0,3.71167865564,18.077,88.3385893992,65.592772572,21.0077,1.73811682713
 01/01  09:00:00,20.6537626491,2.26719171198,0.0,0.0,3.71167865564,13.077,81.7551170241,65.011146457,15.0055,1.73847056713
 01/01  10:00:00,20.6638932299,2.26719171198,0.0,0.0,3.71167865564,13.077,76.7581910501,60.0141513513,15.0055,1.73853969873
 01/01  11:00:00,25.6577411879,2.26719171198,0.0,0.0,3.71167865564,18.077,89.128094424,50.9252606804,33.0121,5.19073374357
 01/01  12:00:00,26.8194846642,2.26719171198,0.0,0.0,3.71167865564,18.077,84.0321817808,38.9006788777,40.51485,4.61665290307
 01/01  13:00:00,25.8861046013,2.26719171198,0.0,0.0,3.71167865564,18.077,74.007198676,33.955745313,36.0132,4.038253363
 01/01  14:00:00,25.682707419,2.26719171198,0.0,0.0,3.71167865564,18.077,69.6297970207,34.0806843556,31.51155,4.03756266502
 01/01  15:00:00,20.6808517384,2.26719171198,0.0,0.0,3.71167865564,13.077,61.0598301303,37.1646118854,21.0077,2.8875182449
 01/01  16:00:00,20.6662653971,2.26719171198,0.0,0.0,3.71167865564,13.077,63.4935778818,40.5253190179,19.50715,3.4611088639
 01/01  17:00:00,21.848118238,2.26719171198,0.0,0.0,3.71167865564,13.077,73.7969268263,48.4009661304,22.50825,2.88771069599
 01/01  18:00:00,28.1144434176,2.26719171198,0.0,0.0,3.71167865564,18.077,82.6913793817,53.1437140933,25.50935,4.03831528836
 01/01  19:00:00,28.1180898348,2.26719171198,0.0,0.0,3.71167865564,18.077,83.035982518,52.336912142,25.50935,5.18972037606
 01/01  20:00:00,28.2608183827,2.26719171198,0.0,0.0,3.71167865564,18.077,82.1512895132,52.0263292556,25.50935,4.61561025765
 01/01  21:00:00,23.2470808534,2.26719171198,0.0,0.0,3.71167865564,13.077,76.8039804413,50.258024783,22.50825,4.03770565834
 01/01  22:00:00,23.1840910817,2.26719171198,0.0,0.0,3.71167865564,13.077,77.1609666023,50.9636617061,21.0077,5.1896048962
 01/01  23:00:00,23.0811220691,2.26719171198,0.0,0.0,3.71167865564,13.077,78.2009858381,56.1568565333,18.0066,4.03752930484
 01/01  24:00:00,24.2855749003,2.26719171198,0.0,0.0,3.71167865564,13.077,64.5726055014,59.2601024558,3.0011,2.31140304553
 01/02  01:00:00,13.8099013352,2.26719171198,0.0,0.0,1.85583932782,5.577,68.0344424824,63.2951285243,3.0011,1.73821395814
 01/02  02:00:00,9.45493492414,0.0,0.0,0.0,0.618613109274,5.0,3.59319498884,0.0,3.0011,0.59209498884
 01/02  03:00:00,9.47165067537,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.48367736718,0.0,0.0,0.0,0.618613109274,5.0,3.59317507488,0.0,3.0011,0.59207507488
 01/02  05:00:00,9.63154325285,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7537513336,2.26719171198,0.0,0.0,1.85583932782,5.577,82.5747149211,77.4810098162,4.50165,0.59205510492
 01/02  07:00:00,28.2344836934,2.26719171198,0.0,0.0,3.71167865564,18.077,85.9756210975,70.7324981796,13.50495,1.7381729179
 01/02  08:00:00,27.5505186405,2.26719171198,0.0,0.0,3.71167865564,18.077,94.1038539577,67.3268393728,21.0077,5.76931458494
 01/02  09:00:00,20.6540966459,2.26719171198,0.0,0.0,3.71167865564,13.077,84.2633811791,64.0645566954,15.0055,5.19332448374
 01/02  10:00:00,20.6644289896,2.26719171198,0.0,0.0,3.71167865564,13.077,80.3274193609,60.7073414364,15.0055,4.61457792453
 01/02  11:00:00,25.6563708742,2.26719171198,0.0,0.0,3.71167865564,18.077,89.6011041185,52.5505506073,33.0121,4.03845351119
 01/02  12:00:00,26.8178485306,2.26719171198,0.0,0.0,3.71167865564,18.077,85.5892709365,40.4597053814,40.51485,4.61471555512
 01/02  13:00:00,25.8875120962,2.26719171198,0.0,0.0,3.71167865564,18.077,69.2383158598,29.1871157058,36.0132,4.03800015399
 01/02  14:00:00,25.6866677302,2.26719171198,0.0,0.0,3.71167865564,18.077,61.5170142154,26.5434933983,31.51155,3.46197081709
 01/02  15:00:00,20.6846482707,2.26719171198,0.0,0.0,3.71167865564,13.077,54.5128879735,30.0447253674,21.0077,3.46046260609
 01/02  16:00:00,20.6677858247,2.26719171198,0.0,0.0,3.71167865564,13.077,56.5522905086,34.1579246062,19.50715,2.88721590245
 01/02  17:00:00,21.8511054469,2.26719171198,0.0,0.0,3.71167865564,13.077,63.0545659581,37.658795849,22.50825,2.88752010908
 01/02  18:00:00,28.122144339,2.26719171198,0.0,0.0,3.71167865564,18.077,66.8279653315,37.2808651051,25.50935,4.03775022642
