Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,165.54516511,47.7282802099,0.0,0.0,43.513341876,52.539744,217.717226213,212.862966213,4.83426,0.02
 01/01  02:00:00,160.331002316,42.6014351183,0.0,0.0,43.513341876,52.539744,197.344521404,192.490261404,4.83426,0.02
 01/01  03:00:00,168.614331463,50.5919793934,0.0,0.0,43.513341876,52.539744,297.483662541,292.629402541,4.83426,0.02
 01/01  04:00:00,164.020176293,46.222601586,0.0,0.0,43.513341876,52.539744,231.855056816,227.000796816,4.83426,0.02
 01/01  05:00:00,174.713792853,56.164090926,0.0,0.0,43.513341876,52.539744,352.349348689,338.902486099,4.83426,8.6126025896
 01/01  06:00:00,165.062016273,46.78404891,0.0,0.0,43.513341876,52.539744,264.798633104,259.944373104,4.83426,0.02
 01/01  07:00:00,176.539046278,57.848432898,0.0,0.0,43.513341876,52.539744,400.94267469,396.08841469,4.83426,0.02
 01/01  08:00:00,155.216827927,40.0890427294,0.0,0.0,43.513341876,52.539744,210.394331406,205.540071406,4.83426,0.02
 01/01  09:00:00,145.165638549,44.753264768,0.0,0.0,43.513341876,52.539744,266.434483875,252.977567581,4.83426,8.62265629402
 01/01  10:00:00,132.161096679,32.0539754358,0.0,0.0,43.513341876,52.539744,135.309561698,130.455301698,4.83426,0.02
 01/01  11:00:00,123.152880702,22.9827003665,0.0,0.0,43.513341876,52.539744,165.088293544,160.234033544,4.83426,0.02
 01/01  12:00:00,131.470125208,30.5826751606,0.0,0.0,43.513341876,52.539744,98.9161786117,85.4591636854,4.83426,8.62275492627
 01/01  13:00:00,114.899418953,14.9675260015,0.0,0.0,43.513341876,52.539744,105.446849113,100.592589113,4.83426,0.02
 01/01  14:00:00,111.844005005,11.9740208012,0.0,0.0,43.513341876,52.539744,60.1942457138,55.3399857138,4.83426,0.02
 01/01  15:00:00,111.168197526,11.2605700455,0.0,0.0,43.513341876,52.539744,68.4944474561,63.6401874561,4.83426,0.02
 01/01  16:00:00,110.291048861,10.4912384188,0.0,0.0,43.513341876,52.539744,50.3496463352,36.9011508303,4.83426,8.61423550499
 01/01  17:00:00,124.302570362,15.6744708713,0.0,0.0,43.513341876,52.539744,69.9175367719,65.0632767719,4.83426,0.02
 01/01  18:00:00,140.721603957,23.150220846,0.0,0.0,43.513341876,52.539744,72.7928568754,67.9385968754,4.83426,0.02
 01/01  19:00:00,147.166801818,29.4691639205,0.0,0.0,43.513341876,52.539744,129.020114452,124.165854452,4.83426,0.02
 01/01  20:00:00,150.209388293,32.1415503297,0.0,0.0,43.513341876,52.539744,110.203758907,105.349498907,4.83426,0.02
 01/01  21:00:00,153.836954056,35.6407984313,0.0,0.0,43.513341876,52.539744,186.608197991,173.159717312,4.83426,8.61422067893
 01/01  22:00:00,158.193700086,40.2521523629,0.0,0.0,43.513341876,52.539744,187.902135498,183.047875498,4.83426,0.02
 01/01  23:00:00,167.330111595,49.4155233493,0.0,0.0,43.513341876,52.539744,294.642492337,289.788232337,4.83426,0.02
 01/01  24:00:00,164.199042055,45.4622331344,0.0,0.0,43.513341876,52.539744,225.418125624,220.563865624,4.83426,0.02
 01/02  01:00:00,170.764522399,52.7418455858,0.0,0.0,43.513341876,52.539744,306.223719804,292.768109037,4.83426,8.62135076638
 01/02  02:00:00,163.664796896,45.8833186274,0.0,0.0,43.513341876,52.539744,230.800147993,225.945887993,4.83426,0.02
 01/02  03:00:00,172.226975991,54.1454638959,0.0,0.0,43.513341876,52.539744,323.552624383,318.698364383,4.83426,0.02
 01/02  04:00:00,164.706916377,46.8517308753,0.0,0.0,43.513341876,52.539744,259.590608101,246.13357687,4.83426,8.62277123125
 01/02  05:00:00,173.954384023,55.2542379747,0.0,0.0,43.513341876,52.539744,387.653553332,382.799293332,4.83426,0.02
 01/02  06:00:00,165.776701688,47.4131781993,0.0,0.0,43.513341876,52.539744,285.457953898,280.603693898,4.83426,0.02
 01/02  07:00:00,196.902024008,72.0041077184,0.0,0.0,43.513341876,53.238744,3274.07382625,3260.61688177,4.83426,8.62268448511
 01/02  08:00:00,371.348557921,72.0041077184,0.0,0.0,220.879908,53.238744,2956.36654309,2925.06207292,4.83426,26.4702101736
 01/02  09:00:00,447.797279581,72.0041077184,0.0,0.0,220.879908,145.652643033,2650.8945033,2579.04810778,36.25695,35.5894455158
 01/02  10:00:00,446.801275676,72.0041077184,0.0,0.0,220.879908,145.652643033,2437.53138423,2347.19238956,36.25695,54.082044673
 01/02  11:00:00,452.079454976,72.0041077184,0.0,0.0,220.879908,151.653867033,2190.23430561,2087.73247482,48.3426,54.1592307989
 01/02  12:00:00,452.7621508,72.0041077184,0.0,0.0,220.879908,151.653867033,1828.10544462,1725.35226882,48.3426,54.4105757969
 01/02  13:00:00,451.570859031,72.0041077184,0.0,0.0,220.879908,151.653867033,1527.30160568,1415.22405542,48.3426,63.7349502619
 01/02  14:00:00,445.540784675,72.0041077184,0.0,0.0,220.879908,145.652643033,1388.61488872,1301.84312956,24.1713,62.6004591584
 01/02  15:00:00,445.496112697,72.0041077184,0.0,0.0,220.879908,145.652643033,1343.80742444,1273.27507188,24.1713,46.3610525521
 01/02  16:00:00,437.62788477,72.0041077184,0.0,0.0,220.879908,137.835547516,1301.80374951,1242.73579406,4.83426,54.2336954525
 01/02  17:00:00,441.626383423,72.0041077184,0.0,0.0,220.879908,133.019064,1298.4445529,1248.83677674,4.83426,44.7735161559
 01/02  18:00:00,370.914168825,72.0041077184,0.0,0.0,220.879908,53.238744,1514.04073679,1464.43975477,4.83426,44.7667220166
 01/02  19:00:00,370.950167561,72.0041077184,0.0,0.0,220.879908,53.238744,1586.5426925,1536.74220715,4.83426,44.9662253486
 01/02  20:00:00,371.376506503,72.0041077184,0.0,0.0,220.879908,53.238744,1624.41989335,1602.18791899,4.83426,17.3977143598
 01/02  21:00:00,371.359219753,72.0041077184,0.0,0.0,220.879908,53.238744,1645.54377923,1632.01384024,4.83426,8.69567899621
 01/02  22:00:00,119.251855371,1.68220823005,0.0,0.0,43.513341876,52.539744,25.8148889066,3.60988421366,4.83426,17.370744693
 01/02  23:00:00,120.161772258,2.76431893012,0.0,0.0,43.513341876,52.539744,9.83816377845,4.98390377845,4.83426,0.02
 01/02  24:00:00,122.984437619,4.43154553629,0.0,0.0,43.513341876,52.539744,24.190712707,10.7164401493,4.83426,8.6400125578
 01/03  01:00:00,122.208914286,4.7166126774,0.0,0.0,43.513341876,52.539744,17.2622882149,12.4080282149,4.83426,0.02
 01/03  02:00:00,126.366023185,8.84544636214,0.0,0.0,43.513341876,52.539744,37.6570215324,24.199933999,4.83426,8.62282753342
 01/03  03:00:00,126.647258494,9.13051350325,0.0,0.0,43.513341876,52.539744,34.5210226579,29.6667626579,4.83426,0.02
 01/03  04:00:00,136.458012232,18.9076987697,0.0,0.0,43.513341876,52.539744,50.8308454659,45.9765854659,4.83426,0.02
 01/03  05:00:00,137.209632205,17.5214648965,0.0,0.0,43.513341876,52.539744,72.3567916369,58.9014379222,4.83426,8.62109371464
 01/03  06:00:00,146.953148094,27.5778906615,0.0,0.0,43.513341876,52.539744,81.6756039409,76.8213439409,4.83426,0.02
 01/03  07:00:00,197.24933983,72.0041077184,0.0,0.0,43.513341876,53.238744,2761.32066508,2756.46640508,4.83426,0.02
 01/03  08:00:00,370.172490164,72.0041077184,0.0,0.0,220.879908,53.238744,2368.73172485,2328.61121293,4.83426,35.2862519213
 01/03  09:00:00,445.867368427,72.0041077184,0.0,0.0,220.879908,145.652643033,2064.03065974,1992.18490196,36.25695,35.588807771
 01/03  10:00:00,445.716771717,72.0041077184,0.0,0.0,220.879908,145.652643033,1941.16182991,1858.59226012,36.25695,46.3126197925
 01/03  11:00:00,451.622778389,72.0041077184,0.0,0.0,220.879908,151.653867033,1848.05571109,1746.77150835,48.3426,52.9416027444
 01/03  12:00:00,452.6267117,72.0041077184,0.0,0.0,220.879908,151.653867033,1758.75574726,1646.90585727,48.3426,63.5072899833
 01/03  13:00:00,451.561695342,72.0041077184,0.0,0.0,220.879908,151.653867033,1696.38723152,1593.41879531,48.3426,54.6258362086
 01/03  14:00:00,445.558836837,72.0041077184,0.0,0.0,220.879908,145.652643033,1691.23549297,1603.19648314,24.1713,63.8677098333
 01/03  15:00:00,445.528548974,72.0041077184,0.0,0.0,220.879908,145.652643033,1676.90398099,1598.6096792,24.1713,54.1230017872
 01/03  16:00:00,437.667967898,72.0041077184,0.0,0.0,220.879908,137.835547516,1608.73777512,1549.67282201,4.83426,54.2306931139
 01/03  17:00:00,441.687854825,72.0041077184,0.0,0.0,220.879908,133.019064,1581.89922303,1532.28850457,4.83426,44.776458461
 01/03  18:00:00,371.00424673,72.0041077184,0.0,0.0,220.879908,53.238744,1800.32416407,1750.72025867,4.83426,44.769645397
 01/03  19:00:00,371.044905494,72.0041077184,0.0,0.0,220.879908,53.238744,1844.40949981,1794.59636041,4.83426,44.9788794013
 01/03  20:00:00,371.025184809,72.0041077184,0.0,0.0,220.879908,53.238744,1798.4174364,1776.18440465,4.83426,17.3987717453
 01/03  21:00:00,371.049150884,72.0041077184,0.0,0.0,220.879908,53.238744,1813.7725379,1800.24233617,4.83426,8.69594172926
 01/03  22:00:00,118.959071161,1.68220823005,0.0,0.0,43.513341876,52.539744,19.3440623118,5.81412574693,4.83426,8.69567656483
 01/03  23:00:00,122.142411184,4.7166126774,0.0,0.0,43.513341876,52.539744,22.9038326892,9.41670447164,4.83426,8.65286821755
 01/03  24:00:00,127.470734081,8.84544636214,0.0,0.0,43.513341876,52.539744,38.7207230031,25.246377977,4.83426,8.64008502612
 01/04  01:00:00,129.362084071,11.7903361059,0.0,0.0,43.513341876,52.539744,42.210947583,37.356687583,4.83426,0.02
 01/04  02:00:00,137.326896695,19.6962196189,0.0,0.0,43.513341876,52.539744,70.611488598,65.757228598,4.83426,0.02
 01/04  03:00:00,151.713738864,34.0328235887,0.0,0.0,43.513341876,52.539744,111.515352864,98.0582522016,4.83426,8.62284066208
 01/04  04:00:00,154.80528321,37.0758474089,0.0,0.0,43.513341876,52.539744,134.133820385,129.279560385,4.83426,0.02
 01/04  05:00:00,162.027217198,43.7712853172,0.0,0.0,43.513341876,52.539744,181.192860474,176.338600474,4.83426,0.02
 01/04  06:00:00,162.361089891,44.1025001855,0.0,0.0,43.513341876,52.539744,205.50155055,192.044395171,4.83426,8.62289537961
 01/04  07:00:00,196.749339593,72.0041077184,0.0,0.0,43.513341876,53.238744,3301.25515097,3296.40089097,4.83426,0.02
 01/04  08:00:00,371.285200474,72.0041077184,0.0,0.0,220.879908,53.238744,2994.66879637,2963.36147184,4.83426,26.4730645239
 01/04  09:00:00,446.771903466,72.0041077184,0.0,0.0,220.879908,145.652643033,2666.21059979,2585.46872054,36.25695,44.4849292445
 01/04  10:00:00,446.108897035,72.0041077184,0.0,0.0,220.879908,145.652643033,2450.94336578,2369.60177863,36.25695,45.0846371459
 01/04  11:00:00,451.837909128,72.0041077184,0.0,0.0,220.879908,151.653867033,2273.55478734,2171.02417823,48.3426,54.1880091111
 01/04  12:00:00,452.722408141,72.0041077184,0.0,0.0,220.879908,151.653867033,2014.69368517,1911.90192354,48.3426,54.4491616297
 01/04  13:00:00,451.594045064,72.0041077184,0.0,0.0,220.879908,151.653867033,1860.79112362,1748.71020078,48.3426,63.7383228389
 01/04  14:00:00,445.583736108,72.0041077184,0.0,0.0,220.879908,145.652643033,1780.0081439,1691.96077592,24.1713,63.8760679797
 01/04  15:00:00,445.539213509,72.0041077184,0.0,0.0,220.879908,145.652643033,1712.13652736,1633.84365167,24.1713,54.1215756932
 01/04  16:00:00,437.67085073,72.0041077184,0.0,0.0,220.879908,137.835547516,1668.66951906,1609.60608918,4.83426,54.2291698856
 01/04  17:00:00,441.710292507,72.0041077184,0.0,0.0,220.879908,133.019064,1710.00076173,1660.38790246,4.83426,44.7785992698
