,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
0,0.07,0.06,0.08,0.06,0.14,0.1,0.07,0.08,0.07,0.0868,0.0788,0.07,0.07,0.07,0.0826,0.0852,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06
366,0.65,0.62,0.64,0.7,0.62,0.62,0.71,1.52,2.1,1.62,1.68,0.78,0.12,0.1,1.16,1.55,1.9,0.62,0.1,0.11,0.9272,1.1145,1.45,1.27
1073,0.01,0.0,0.0,0.0031,0.0031,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
2345,1.3,0.34,0.44,0.37,0.23,0.23,0.41,0.24,0.33,0.36,0.35,0.35,0.66,0.06,0.21,0.29,0.43,0.39,0.36,0.24,0.35,0.23,0.49,1.18
3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4150,0.06,0.04,0.07,0.06,0.04,0.05,0.15,0.11,2.31,2.79,1.33,1.17,1.16,0.96,0.45,0.67,0.59,1.09,1.83,1.35,1.34,1.35,2.01,0.4
4516,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.13,0.19,0.12,0.09,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.09,0.21,0.1,0.09,0.03
4882,0.23,0.07,0.05,0.06,0.07,0.04,0.07,0.04,0.28,0.09,0.15,0.19,0.46,0.36,0.36,0.47,0.3,0.25,0.23,0.9,1.4,1.19,0.66,0.38
5240,0.13,0.08,0.11,0.09,0.0919,0.092,0.13,0.12,0.13,0.09,0.0922,0.09,0.09,0.09,0.09,0.09,0.08,0.14,0.11,0.11,0.07,0.11,0.08,0.11
5605,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01
5971,0.24,0.18,0.11,0.12,0.22,0.13,0.1,0.11,0.31,0.16,0.16,0.13,0.26,0.27,0.0723,0.184,0.19,0.49,3.47,2.94,1.87,0.26,0.11,0.11
6337,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.09,0.07,0.07,0.0745,0.08,0.06,0.05,0.07,0.04,0.08,0.08,0.07,0.08,0.1,0.05,0.03
6703,3.22,1.75,1.71,0.21,0.18,0.17,0.17,0.54,0.12,0.22,0.12,0.52,0.34,0.47,0.24,1.39,0.15,0.55,0.36,1.87,1.03,1.13,0.3,0.34
7067,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.06
7433,0.04,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03
8136,0.15,0.2,0.11,0.19,0.2888,0.3634,0.23,0.22,2.15,3.87,3.39,3.2,2.48,2.16,1.07,0.2,0.3,0.23,2.65,2.6,1.65,2.25,3.79,1.0163
8842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9549,0.28,0.03,0.22,0.1381,0.1364,0.21,0.13,0.13,0.21,0.13,0.14,0.2,0.12,0.16,0.21,0.79,1.1,1.4,1.06,0.46,0.37,0.35,0.26,0.17
9914,0.33,0.23,0.32,0.27,0.3,0.24,0.2,0.15,0.17,0.12,0.06,0.34,0.41,0.28,0.33,0.28,0.21,0.26,0.3591,0.29,0.29,0.53,1.21,0.89
10280,0.03,0.01,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02
10615,0.628,0.5289,0.4519,0.3894,0.18,0.16,0.1,0.33,0.77,0.16,0.19,0.39,0.41,0.25,0.17,0.5,0.28,0.6971,0.8229,1.15,1.11,0.9703,0.9325,1.08
10976,0.34,0.43,0.31,0.29,0.26,0.34,0.36,0.34,0.36,0.6,1.36,0.37,0.27,0.24,0.25,0.29,0.35,0.36,0.35,0.96,1.05,0.92,0.76,0.53
11338,3.88,1.86,1.01,1.01,0.96,0.96,0.9,0.97,0.91,3.1,1.11,0.89,0.9298,0.8843,0.3,0.41,0.33,0.57,0.48,0.46,1.56,1.23,1.84,0.84
11704,0.17,0.09,0.11,0.08,0.0967,0.1057,0.11,0.07,0.1,0.1,0.07,0.07,0.08,0.22,0.23,0.25,0.23,1.62,0.66,0.79,1.33,1.36,1.37,1.05
12087,0.6,0.46,0.53,0.54,0.53,0.56,0.54,0.53,0.54,0.55,0.56,0.54,0.53,0.52,1.1,0.74,0.49,0.48,0.5,0.5,0.51,0.52,0.52,0.52
12429,0.89,0.8295,0.8163,0.84,0.8,1.36,1.77,2.16,1.2,1.58,2.03,1.28,1.68,1.23,0.91,1.33,1.45,1.31,1.32,2.5,0.99,1.04,1.0,0.97
12795,0.42,0.07,0.14,0.14,0.16,0.36,0.17,0.17,0.24,0.34,0.24,0.45,0.14,0.55,0.69,0.3542,0.3828,0.4,0.61,0.3,0.5732,0.6127,1.11,0.5587
13155,0.68,0.21,0.04,0.08,0.06,0.03,0.08,0.07,0.03,0.06,0.43,0.26,0.1149,0.114,0.35,0.31,0.04,0.1,0.03,0.07,0.06,0.03,0.75,0.78
13382,0.48,0.23,0.37,0.22,0.54,0.51,0.3003,0.23,0.1,0.1352,0.165,0.08,0.11,0.08,0.1,0.1,0.1,0.12,0.09,0.09,0.09,0.12,0.1,0.11
13748,0.3,0.07,0.08,0.07,0.06,0.06,0.06,0.26,0.43,0.53,0.13,0.22,0.2,0.2,0.37,0.26,0.07,0.19,0.17,0.66,0.423,0.4482,0.4357,0.09
14114,0.13,0.04,0.06,0.11,0.06,0.07,0.1,0.08,0.08,0.07,0.09,0.09,0.07,0.06,0.07,0.11,0.07,0.07,0.06,0.1,0.09,0.06,0.07,0.09
14479,0.44,0.28,0.21,0.38,0.3,0.33,0.32,0.23,0.32,0.17,0.25,0.35,0.31,0.21,0.19,0.16,0.19,0.23,0.32,0.2,0.18,0.08,0.65,0.81
14845,0.05,0.01,0.08,0.09,0.07,0.03,0.1491,0.03,0.18,0.21,0.09,0.03,0.04,0.02,0.04,0.03,0.05,0.12,0.04,0.1,0.1102,0.1101,0.13,0.07
15211,1.4583,0.7345,0.58,0.03,0.03,0.03,0.03,0.42,0.2302,0.4294,1.63,1.3,1.77,0.49,0.1,1.84,2.01,1.05,0.05,0.07,1.78,2.05,1.94,2.39
15577,0.27,0.16,0.25,0.16,0.27,0.2,0.29,0.19,0.2,0.72,0.69,0.37,0.64,1.25,0.7207,0.61,0.59,0.84,2.05,3.29,4.09,3.23,0.74,0.21
15943,0.05,0.02,0.07,0.02,0.03,0.03,0.08,0.02,0.02,0.08,0.08,0.06,0.14,0.1139,0.1216,0.09,0.11,0.53,0.3785,0.2865,0.16,0.14,0.23,0.8
16309,0.12,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.08,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.04
16668,0.25,0.13,0.14,0.23,0.14,0.22,0.14,0.15,0.61,0.47,0.39,0.45,0.43,0.31,0.29,0.5,0.5,2.62,2.44,0.55,0.42,0.47,0.33,0.91
17034,0.8868,0.7711,0.67,0.69,0.67,0.68,0.64,0.77,0.58,1.43,1.33,0.18,0.1,0.08,0.09,0.11,0.07,0.3227,0.4049,0.53,0.48,0.82,0.9541,1.0012
17399,0.16,0.06,0.07,0.1,0.05,0.1,0.08,0.07,0.09,0.05,0.26,0.23,0.18,0.26,0.13,0.12,0.18,0.24,0.73,0.65,0.65,0.21,0.14,0.09
17764,0.0,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.01,0.01
18162,0.11,0.04,0.04,0.07,0.19,0.26,0.66,0.03,0.04,0.13,0.62,0.1855,0.06,0.07,0.1,0.05,0.2113,0.2476,0.35,0.45,0.53,0.69,0.24,0.09
18528,0.07,0.01,0.03,0.04,0.05,0.01,0.05,0.04,0.03,0.04,0.02,0.05,0.04,0.02,0.05,0.04,0.03,0.05,0.06,0.0,0.04,0.095,0.1015,0.07
18894,0.1544,0.0894,0.03,0.06,0.06,0.05,0.07,0.1,0.09,0.22,0.15,0.17,0.16,0.13,0.15,0.47,0.2684,0.8,0.65,0.11,0.2831,0.2675,0.24,0.1
19260,0.26,0.15,0.09,0.04,0.0362,0.0801,0.04,0.03,0.35,0.17,0.09,0.05,0.04,0.05,0.04,0.05,0.31,0.51,0.36,0.74,0.47,0.23,0.18,0.23
19626,0.03,0.03,0.18,0.04,0.04,0.03,0.03,0.16,0.34,0.15,0.2,0.48,0.24,0.22,0.95,0.21,0.36,0.41,0.36,0.21,0.16,0.07,0.16,0.03
20576,0.2577,0.0851,0.03,0.07,0.0589,0.2551,0.08,0.5,0.98,0.647,0.5759,0.78,0.41,0.29,0.3505,0.4157,0.11,0.5,0.7,2.61,1.58,1.04,0.62,0.32
20942,0.66,0.11,0.23,0.2,0.18,0.19,0.19,0.18,0.36,0.08,0.38,0.43,0.36,0.26,0.14,0.12,0.07,0.11,0.18,0.23,0.37,0.48,0.47,0.75
21301,0.04,0.03,0.07,0.04,0.04,0.07,0.03,0.21,0.08,0.04,0.39,0.06,0.13,0.04,0.02,0.08,0.02,0.08,0.34,0.34,0.32,0.64,0.04,0.08
21667,0.9794,0.15,0.1,0.1,0.1,0.11,0.15,0.196,0.2258,0.09,0.09,0.09,0.13,0.16,0.08,0.09,0.2416,0.3774,0.7178,2.57,2.42,2.34,3.16,1.63
22026,0.09,0.07,0.08,0.08,0.06,0.09,0.07,0.09,0.08,0.43,0.42,0.19,0.12,0.05,0.1,0.05,0.15,0.18,0.57,0.28,5.05,3.0,1.05,0.28
22392,0.07,0.0571,0.0475,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.07,0.22,0.21,0.09,0.11,0.41,0.08,0.12,0.12,0.12,0.19,0.19,0.2503,0.41
22758,1.08,0.95,1.04,1.04,1.04,1.05,1.05,1.05,1.36,0.93,0.05,0.07,0.08,0.36,0.05,0.17,0.09,0.05,0.56,1.95,3.9,1.31,1.61,2.21
23136,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.08,0.01,0.01,0.12,0.07,0.1,0.05,0.07,0.1,0.03,0.03
23502,0.4713,0.4642,0.5214,0.52,1.21,0.9178,0.8362,0.52,0.37,0.2276,0.1555,0.02,0.04,0.1323,0.1395,0.03,0.03,0.02,0.3395,0.3939,0.15,0.41,0.68,0.6
23793,0.9,0.12,0.06,0.12,0.15,0.07,0.07,0.06,0.06,0.67,0.3864,0.3587,0.23,0.21,0.47,0.11,0.07,0.05,0.04,0.07,1.36,1.6,1.65,1.22
24158,0.07,0.05,0.06,0.05,0.05,0.06,0.06,0.05,0.21,0.17,0.09,0.11,0.14,0.14,0.15,0.14,0.15,0.14,0.41,0.18,0.31,0.35,0.31,0.27
24524,0.17,0.07,0.09,0.08,0.14,0.13,0.1,0.09,0.14,0.17,0.4,0.3,0.09,0.14,0.03,0.08,0.1,0.09,0.09,0.09,0.1,0.09,0.55,1.02
24878,0.18,0.16,0.18,0.16,0.17,0.18,0.16,0.18,0.17,0.16,0.17,0.14,0.19,0.13,0.16,0.15,0.1,0.18,0.15,0.17,0.17,0.15,0.17,0.18
25243,0.2,0.06,0.08,0.07,0.05,0.1,0.06,0.06,0.98,1.32,0.27,0.1,0.07,0.2134,0.2452,0.86,1.19,1.15,0.14,0.06,0.07,0.08,1.36,1.85
25609,0.08,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.15,0.13,0.12,0.04,0.04,0.03,0.18,0.11,0.09,0.16,0.07,0.06,0.21
25975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26683,0.7591,0.4921,0.18,0.16,0.21,0.19,0.21,0.13,0.24,0.4,0.46,0.3,0.6,0.67,0.76,0.7641,0.8421,0.82,1.83,2.05,1.6392,1.6721,1.3,1.37
27031,0.1966,0.1632,0.1447,0.1379,0.1427,0.15,0.1882,0.2112,0.48,0.43,0.46,0.29,0.13,0.13,0.07,0.11,0.69,0.2,0.12,0.21,0.46,0.3562,0.3676,0.32
