ycid,time,a,b,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,sum
1923270,2014/1/1,1,1.11111E+95,6.1856,5.1,6.6,6.9,7.2,6,6.6,6,6.6,5.4,5.4,5.7,6.9,6,6.3,5.7,6.9,6,7.8,7.5,8.7,7.8,8.4,7.2,7.5,6.6,6.3,5.7,6,5.4,6,5.4,7.2,6.3,7.2,6.3,6.9,6,6.6,6,7.5,6.9,7.2,6.3,7.8,6,7.5,6,6.3,5.7,5.7,4.8,6,5.7,6.3,5.7,6.6,5.7,6.6,5.1,5.4,4.5,5.1,4.5,5.4,5.4,7.2,6.3,5.7,4.8,5.4,5.1,6.6,5.7,7.2,5.4,6.9,5.7,6.6,6.3,7.2,6.3,7.2,6.6,6.9,6,6,6,5.7,5.7,7.2,6,7.8,6.3,7.5,6.3,605.59
1923270,2014/1/2,1,1.11111E+95,8.1,6.3,6.6,5.1,5.4,4.8,5.7,4.5,5.7,5.7,6.6,5.7,7.8,6.3,7.8,7.2,7.2,6,6.3,6,6.3,7.2,7.2,6,7.2,6,6.6,6,7.2,6.6,7.5,5.4,6.3,5.4,6.9,6.3,7.5,5.7,7.2,6,6.3,6.3,7.2,5.7,6.3,5.1,5.7,5.4,6.6,5.7,5.4,3.9,5.1,3.6,4.5,4.8,5.1,4.2,5.1,3.9,3.9,3.6,4.2,3.9,6.3,5.7,6.3,6,5.7,5.4,5.7,5.7,6,6,6.6,5.7,5.1,5.7,6,4.8,7.2,6,5.9117,5.9209,5.4,5.4,5.9448,5.9415,6.6,6.3,5.915,5.898,5.7,4.8,5.8331,5.8053,564.07
1923270,2014/1/3,1,1.11111E+95,6.6,5.4,5.0995,5.0689,5.7,4.2,4.8,4.2,4.8,3.9,4.5,4.5,6.6,6,6.9,4.8,5.7,5.4,5.1,5.1,6.3,5.1,6,5.4,6,6,6.9,5.4,5.4,4.5,5.1,4.2,5.7,5.4,6.9,6,6.3,4.8,5.7,4.8,5.4,5.7,6.3,5.4,6.3,4.8,4.2,3.6,4.8,4.8,6,5.1,5.7,4.8,5.1,3.9,4.8,3.9,5.4,4.5,5.7,4.8,5.7,4.2,4.5,4.5,5.7,4.8,6,4.8,6.3,5.4,5.7,5.1,5.1,4.5,5.4,5.1,5.7,5.4,6.3,5.4,5.4,4.5,5.1,4.5,5.4,5.4,6.3,5.4,6.3,5.1,6,5.7,5.7,4.2,507.87
1923270,2014/1/4,1,1.11111E+95,5.1,5.6841,5.6568,4.5,4.8,4.5,6,5.1,5.4,5.1,6,5.7,6.9,5.7,6,5.1,6,5.4,6.9,6,7.8,6.9,6.9,4.8,5.1,5.1,6,5.4,5.7,5.4,6.6,5.7,7.2,6,7.5,6,6.9,5.7,6.6,6,6.9,6.6,7.2,5.4,6,4.8,5.1,5.4,6.3,5.7,6,5.7,6,5.1,5.7,4.5,4.5,4.8,4.8,4.8,6,5.7,6,5.4,6.6,6.6,7.2,6.6,5.7,5.1,5.4,5.4,6.6,5.7,6.6,5.7,6.9,6,6.6,5.8537,5.8571,5.7,6.3,5.8756,5.8864,5.7,6.6,5.8955,5.8885,5.4,6.3,5.851,5.8303,4.5,5.7,5.7572,560.84
1923270,2014/1/5,1,1.11111E+95,5.877,4.8,5.1,5.7975,5.7628,5.7,6.3,5.7,6.9,6.3,7.2,6,6,5.4,6.3,4.5,6,5.4,5.7,5.7,5.4,5.1,6.6,6.3,8.1,6,7.5,6.9,7.2,6.6,7.5,6.3,6.6,6,6.3,5.1,6.9,6.9,7.2,6,7.5,7.5,8.4,7.5,7.5,5.1,5.7,5.1,5.7,5.1,5.4,5.4,6,5.4,6.3,5.7,6.3,5.7,6,5.7,6,5.7,4.5,4.8,6.3,5.1,6.6,6.3,6.9,6,6.6,5.4,6.6,5.7,6.6,5.1,5.7,4.8,5.1,4.8,5.4,4.2,5.4,4.5,5.4,4.5,6.9,6.6,7.5,6.6,7.2,6.3,7.2,5.7,4.5,4.2,576.64
1923270,2014/1/6,1,1.11111E+95,4.5,4.2,4.8,4.2,4.8,3.9,4.8,3.9,4.8,4.5,4.8,5.7,6.9,6.6,7.2,5.7,6.9,7.2,8.1,6.9,8.1,7.8,7.8,6.6,7.2,6,6.6,6.3,6.6,5.1,5.7,4.8,5.7,4.8,5.4,5.1,6.6,6,6.3,5.4,6,5.1,6,5.4,6.3,6,6,5.1,5.7,5.1,5.1,4.8,5.4,4.8,5.4,4.8,5.1,4.5,5.1,4.5,4.8,5.1678,5.2294,3.6,3.9,5.6793,5.768,4.8,6.3,5.5544,5.4807,4.8,5.7,5.4572,5.4653,4.5,5.1,5.527,5.5488,4.8,5.4,5.5651,5.5708,5.4,6,5.4,5.4,5.4,6,4.8,5.7,4.5,6,4.8,6,5.1,530.71
1923270,2014/1/7,1,1.11111E+95,5.7,4.5,4.5,4.2,5.1,4.2,5.1,4.2,4.8,4.5,5.1,5.4,6.3,5.7,6.3,6.3,7.8,6.9,8.1,7.5,8.1,7.2,7.5,6,6.9,6.3,7.2,5.4,6.3,4.2,5.7,4.8,5.4,4.5,6,5.1,5.1,4.2,5.7,6.3,6.9,5.7,6.6,5.1,5.7,5.4,5.7,5.7,6,4.8,5.4,5.1,5.7,5.1,5.1,3.9,4.5,3.6,4.8,3.9,4.5,4.2,4.8,4.5,5.4,5.1,5.1,4.8,5.7,4.5,4.8,4.5,5.7,5.7,6.3,5.4,6.3,5.4,6.3,6,6.6,5.4,6.6,6.3,6.6,5.7,7.2,5.7,5.7,5.1,5.7,5.1,6,4.8,5.7,5.1,533.1
1923270,2014/1/8,1,1.11111E+95,5.7,5.1,4.5,4.2,4.8,5.4,5.1,5.1,5.7,4.8,5.7,4.8,6,6,7.2,5.7,7.2,5.1,6,5.7,5.7,5.1,5.7,4.8,5.1,5.1,5.4,5.1,5.7,5.7,6.6,6,6.9,6.6,7.5,6.6,7.8,6.3,6.9,6.9,7.8,7.2,7.5,6.3,6.9,6.3,6.6,5.7,6.6,6.6,7.5,4.5,5.7,5.4,5.7,5.7,6.3,5.7,6.3,6,6.6,6.3,7.5,7.5,8.4,7.8,7.5,6.9,6.9,6,6.9,6.6,7.8,5.7,6.9,6,6.6,6,6.9,6.6,7.5,5.7,7.2,6.3,6.9,6,6.6,6.3,7.5,6.6,7.2,6.6,7.5,6.6,7.5,6.9,603.9
1923270,2014/1/9,1,1.11111E+95,8.1,6.9,7.8,6.6,7.5,6.6,7.5,6.3,6.9,6,6.9,5.7,7.5,6.6,7.5,6.3,7.2,6.9,7.5,6.6,7.5,6.9,7.8,6,6.9,6,7.2,5.7,7.2,6.3,6.6,5.7,6.9,6,7.2,6,7.2,6.6,7.8,6,7.5,7.5,8.7,7.8,9,6.6,7.2,6.6,8.1,6.9,8.1,6.9,7.8,6.6,7.2,6.3,6.9,6.6,7.2,6.3,7.2,6.9,7.8,6.9,7.8,6.9,8.1,6.9,7.2,6.6,7.2,6.6,7.8,6.6,7.5,6.9,7.8,6.6,8.1,6.9,7.5,6.9,7.5,6.6,7.5,6.6,7.2,6.9,7.5,6.6,7.8,6.6,7.8,7.2,7.8,6.6,677.1
1923270,2014/1/10,1,1.11111E+95,7.5,6.6,7.5,6.6,7.5,6.3,6.3,5.4,6.3,5.4,6.3,6,7.2,6.9,7.2,6.3,7.5,6.9,9,7.8,9.3,8.1,8.7,7.2,8.4,7.2,8.1,6.9,7.8,6.6,7.8,6.6,7.5,6.3,7.5,6.6,7.2376,7.2809,7.8,6.9,7.6097,7.7412,7.5,6.9,7.6427,7.4828,6.6,6.3,7.1242,7.0368,5.4,4.5,6.8113,6.7451,6.3,5.4,6.3,5.4,6.3,5.7,6.6,5.7,6.3,5.4,6.6,5.7,7.2,7.5,8.1,7.2,8.4,6.9,8.1,7.8,8.1,6.9,8.1,7.2,8.4,6.9,8.1,6.9,7.8,6.9,7.8,7.2,7.8,7.2,7.8,6.9,8.1,6.9,7.8,6,6.6,5.7,675.71
