,1,2,3,4,5,6,7,pre
0,6.3,6.6,4.8,6.3,5.7,5.7,6.0,6.6
1,6.6,4.8,6.3,5.7,5.7,6.0,6.6,8.1
2,4.8,6.3,5.7,5.7,6.0,6.6,8.1,7.1242
3,6.3,5.7,5.7,6.0,6.6,8.1,7.1242,5.4
4,5.7,5.7,6.0,6.6,8.1,7.1242,5.4,6.3
5,5.7,6.0,6.6,8.1,7.1242,5.4,6.3,5.7
6,6.0,6.6,8.1,7.1242,5.4,6.3,5.7,5.1
7,6.6,8.1,7.1242,5.4,6.3,5.7,5.1,5.4
8,8.1,7.1242,5.4,6.3,5.7,5.1,5.4,5.4
9,7.1242,5.4,6.3,5.7,5.1,5.4,5.4,7.2
10,5.4,6.3,5.7,5.1,5.4,5.4,7.2,6.3
11,6.3,5.7,5.1,5.4,5.4,7.2,6.3,8.1
12,5.7,5.1,5.4,5.4,7.2,6.3,8.1,6.3
13,5.1,5.4,5.4,7.2,6.3,8.1,6.3,7.5
14,5.4,5.4,7.2,6.3,8.1,6.3,7.5,7.5
15,5.4,7.2,6.3,8.1,6.3,7.5,7.5,6.9
16,7.2,6.3,8.1,6.3,7.5,7.5,6.9,5.7
17,6.3,8.1,6.3,7.5,7.5,6.9,5.7,3.6
18,8.1,6.3,7.5,7.5,6.9,5.7,3.6,4.5
19,6.3,7.5,7.5,6.9,5.7,3.6,4.5,4.8
20,7.5,7.5,6.9,5.7,3.6,4.5,4.8,3.9
21,7.5,6.9,5.7,3.6,4.5,4.8,3.9,4.8
22,6.9,5.7,3.6,4.5,4.8,3.9,4.8,3.6
23,5.7,3.6,4.5,4.8,3.9,4.8,3.6,1.8
24,3.6,4.5,4.8,3.9,4.8,3.6,1.8,0.9
25,4.5,4.8,3.9,4.8,3.6,1.8,0.9,1.5
26,4.8,3.9,4.8,3.6,1.8,0.9,1.5,2.7
27,3.9,4.8,3.6,1.8,0.9,1.5,2.7,3.0
28,4.8,3.6,1.8,0.9,1.5,2.7,3.0,3.9
29,3.6,1.8,0.9,1.5,2.7,3.0,3.9,2.4
30,1.8,0.9,1.5,2.7,3.0,3.9,2.4,4.5
31,0.9,1.5,2.7,3.0,3.9,2.4,4.5,7.5
32,1.5,2.7,3.0,3.9,2.4,4.5,7.5,7.2
33,2.7,3.0,3.9,2.4,4.5,7.5,7.2,8.1
34,3.0,3.9,2.4,4.5,7.5,7.2,8.1,8.1
35,3.9,2.4,4.5,7.5,7.2,8.1,8.1,6.3
36,2.4,4.5,7.5,7.2,8.1,8.1,6.3,6.0
37,4.5,7.5,7.2,8.1,8.1,6.3,6.0,6.6
38,7.5,7.2,8.1,8.1,6.3,6.0,6.6,5.4
39,7.2,8.1,8.1,6.3,6.0,6.6,5.4,5.7
40,8.1,8.1,6.3,6.0,6.6,5.4,5.7,6.9
41,8.1,6.3,6.0,6.6,5.4,5.7,6.9,6.9
42,6.3,6.0,6.6,5.4,5.7,6.9,6.9,8.7
43,6.0,6.6,5.4,5.7,6.9,6.9,8.7,6.9
44,6.6,5.4,5.7,6.9,6.9,8.7,6.9,7.5
45,5.4,5.7,6.9,6.9,8.7,6.9,7.5,6.3
46,5.7,6.9,6.9,8.7,6.9,7.5,6.3,6.0
47,6.9,6.9,8.7,6.9,7.5,6.3,6.0,6.6
48,6.9,8.7,6.9,7.5,6.3,6.0,6.6,6.0
49,8.7,6.9,7.5,6.3,6.0,6.6,6.0,6.0
50,6.9,7.5,6.3,6.0,6.6,6.0,6.0,5.7
51,7.5,6.3,6.0,6.6,6.0,6.0,5.7,6.3
52,6.3,6.0,6.6,6.0,6.0,5.7,6.3,6.6
53,6.0,6.6,6.0,6.0,5.7,6.3,6.6,6.0
54,6.6,6.0,6.0,5.7,6.3,6.6,6.0,5.1
55,6.0,6.0,5.7,6.3,6.6,6.0,5.1,4.5
56,6.0,5.7,6.3,6.6,6.0,5.1,4.5,6.3
57,5.7,6.3,6.6,6.0,5.1,4.5,6.3,6.6
58,6.3,6.6,6.0,5.1,4.5,6.3,6.6,5.1
59,6.6,6.0,5.1,4.5,6.3,6.6,5.1,5.7
60,6.0,5.1,4.5,6.3,6.6,5.1,5.7,4.8
61,5.1,4.5,6.3,6.6,5.1,5.7,4.8,5.4
62,4.5,6.3,6.6,5.1,5.7,4.8,5.4,5.7
63,6.3,6.6,5.1,5.7,4.8,5.4,5.7,3.9
64,6.6,5.1,5.7,4.8,5.4,5.7,3.9,6.9
65,5.1,5.7,4.8,5.4,5.7,3.9,6.9,5.4
66,5.7,4.8,5.4,5.7,3.9,6.9,5.4,4.2
67,4.8,5.4,5.7,3.9,6.9,5.4,4.2,4.2
68,5.4,5.7,3.9,6.9,5.4,4.2,4.2,2.7
69,5.7,3.9,6.9,5.4,4.2,4.2,2.7,2.1
70,3.9,6.9,5.4,4.2,4.2,2.7,2.1,4.5
71,6.9,5.4,4.2,4.2,2.7,2.1,4.5,6.0
72,5.4,4.2,4.2,2.7,2.1,4.5,6.0,5.4
73,4.2,4.2,2.7,2.1,4.5,6.0,5.4,4.2
74,4.2,2.7,2.1,4.5,6.0,5.4,4.2,3.6
75,2.7,2.1,4.5,6.0,5.4,4.2,3.6,2.7
76,2.1,4.5,6.0,5.4,4.2,3.6,2.7,4.8
77,4.5,6.0,5.4,4.2,3.6,2.7,4.8,2.7
78,6.0,5.4,4.2,3.6,2.7,4.8,2.7,4.8
79,5.4,4.2,3.6,2.7,4.8,2.7,4.8,4.2
80,4.2,3.6,2.7,4.8,2.7,4.8,4.2,3.3
81,3.6,2.7,4.8,2.7,4.8,4.2,3.3,2.7
82,2.7,4.8,2.7,4.8,4.2,3.3,2.7,4.2
83,4.8,2.7,4.8,4.2,3.3,2.7,4.2,3.6
84,2.7,4.8,4.2,3.3,2.7,4.2,3.6,3.6
85,4.8,4.2,3.3,2.7,4.2,3.6,3.6,3.6
86,4.2,3.3,2.7,4.2,3.6,3.6,3.6,3.9
